Match,League,Team,Start Time Est,Avg Edge Book,Avg Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Avg Edge Pct,Result
Pittsburgh Panthers @ Florida State Seminoles,NCAAF,Pittsburgh Panthers,2025-10-11 12:00:00,FanDuel,4.5,2025-10-11 10:59:02,2025-10-11 16:00:00,2025-10-11 14:59:02,3.4,Pittsburgh Panthers
Toledo Rockets @ Bowling Green Falcons,NCAAF,Bowling Green Falcons,2025-10-11 12:00:00,FanDuel,4.4,2025-10-11 11:25:05,2025-10-11 16:00:00,2025-10-11 15:25:05,4.51,Bowling Green Falcons
Arkansas Razorbacks @ Tennessee Volunteers,NCAAF,Arkansas Razorbacks,2025-10-11 11:52:00,DraftKings,3.6,2025-10-11 16:59:06,2025-10-11 15:52:00,2025-10-11 20:59:06,3.9,Tennessee Volunteers
TCU Horned Frogs @ Kansas State Wildcats,NCAAF,TCU Horned Frogs,2025-10-11 12:32:00,DraftKings,2.6,2025-10-11 17:23:31,2025-10-11 16:32:00,2025-10-11 21:23:31,12.67,Kansas State Wildcats
Iowa State Cyclones @ Colorado Buffaloes,NCAAF,Colorado Buffaloes,2025-10-11 12:36:00,DraftKings,2.95,2025-10-11 17:23:31,2025-10-11 16:36:00,2025-10-11 21:23:31,10.09,Colorado Buffaloes
Indiana Hoosiers @ Oregon Ducks,NCAAF,Oregon Ducks,2025-10-11 11:49:00,FanDuel,2.0,2025-10-11 17:23:31,2025-10-11 15:49:00,2025-10-11 21:23:31,4.56,Indiana Hoosiers
Oklahoma Sooners @ Texas Longhorns,NCAAF,Oklahoma Sooners,2025-10-11 11:50:00,FanDuel,3.35,2025-10-11 17:59:14,2025-10-11 15:50:00,2025-10-11 21:59:14,9.58,Texas Longhorns
Northwestern Wildcats @ Penn State Nittany Lions,NCAAF,Penn State Nittany Lions,2025-10-11 15:34:00,Fanatics,2.7,2025-10-11 18:27:53,2025-10-11 19:34:00,2025-10-11 22:27:53,29.15,Northwestern Wildcats
Florida Gators @ Texas A&M Aggies,NCAAF,Florida Gators,2025-10-11 15:31:00,BetMGM,5.75,2025-10-11 19:58:59,2025-10-11 19:31:00,2025-10-11 23:58:59,33.53,Texas A&M Aggies
South Carolina Gamecocks @ LSU Tigers,NCAAF,South Carolina Gamecocks,2025-10-11 15:33:00,DraftKings,3.6,2025-10-11 22:04:31,2025-10-11 19:33:00,2025-10-12 02:04:31,3.13,LSU Tigers
BYU Cougars @ Arizona Wildcats,NCAAF,Arizona Wildcats,2025-10-11 15:37:00,FanDuel,4.5,2025-10-11 22:04:31,2025-10-11 19:37:00,2025-10-12 02:04:31,2.18,BYU Cougars
Georgia Bulldogs @ Auburn Tigers,NCAAF,Auburn Tigers,2025-10-11 15:30:00,FanDuel,9.0,2025-10-11 23:09:22,2025-10-11 19:30:00,2025-10-12 03:09:22,24.64,Georgia Bulldogs
Arizona State Sun Devils @ Utah Utes,NCAAF,Arizona State Sun Devils,2025-10-11 15:31:00,BetMGM,4.75,2025-10-11 23:09:22,2025-10-11 19:31:00,2025-10-12 03:09:22,3.0,Utah Utes
Denver Broncos @ New York Jets,NFL,New York Jets,2025-10-12 09:30:00,DraftKings,4.3,2025-10-12 01:59:03,2025-10-12 13:30:00,2025-10-12 05:59:03,2.86,Denver Broncos
Arizona Cardinals @ Indianapolis Colts,NFL,Arizona Cardinals,2025-10-12 13:01:00,BetMGM,4.75,2025-10-12 12:59:26,2025-10-12 17:01:00,2025-10-12 16:59:26,3.41,Indianapolis Colts
Cleveland Browns @ Pittsburgh Steelers,NFL,Cleveland Browns,2025-10-12 13:02:00,BetMGM,6.25,2025-10-12 13:59:13,2025-10-12 17:02:00,2025-10-12 17:59:13,18.36,Pittsburgh Steelers
Los Angeles Rams @ Baltimore Ravens,NFL,Baltimore Ravens,2025-10-12 13:02:00,Caesars,3.3,2025-10-12 13:59:13,2025-10-12 17:02:00,2025-10-12 17:59:13,5.88,Los Angeles Rams
Dallas Cowboys @ Carolina Panthers,NFL,Carolina Panthers,2025-10-12 13:01:00,Caesars,2.35,2025-10-12 13:59:13,2025-10-12 17:01:00,2025-10-12 17:59:13,3.86,Carolina Panthers
Seattle Seahawks @ Jacksonville Jaguars,NFL,Jacksonville Jaguars,2025-10-12 13:02:48,Caesars,2.75,2025-10-12 13:59:13,2025-10-12 17:02:48,2025-10-12 17:59:13,3.38,Seattle Seahawks
Los Angeles Chargers @ Miami Dolphins,NFL,Los Angeles Chargers,2025-10-12 13:01:00,FanDuel,2.02,2025-10-12 14:35:15,2025-10-12 17:01:00,2025-10-12 18:35:15,2.13,Los Angeles Chargers
New England Patriots @ New Orleans Saints,NFL,New Orleans Saints,2025-10-12 13:02:50,FanDuel,5.3,2025-10-12 14:58:56,2025-10-12 17:02:50,2025-10-12 18:58:56,24.04,New England Patriots
Tennessee Titans @ Las Vegas Raiders,NFL,Tennessee Titans,2025-10-12 16:06:00,Caesars,6.5,2025-10-12 16:59:22,2025-10-12 20:06:00,2025-10-12 20:59:22,19.92,Las Vegas Raiders
Cincinnati Bengals @ Green Bay Packers,NFL,Cincinnati Bengals,2025-10-12 16:28:00,DraftKings,17.0,2025-10-12 17:24:23,2025-10-12 20:28:00,2025-10-12 21:24:23,35.45,Green Bay Packers
San Francisco 49ers @ Tampa Bay Buccaneers,NFL,San Francisco 49ers,2025-10-12 16:26:00,FanDuel,3.35,2025-10-12 17:58:54,2025-10-12 20:26:00,2025-10-12 21:58:54,3.24,Tampa Bay Buccaneers
Detroit Lions @ Kansas City Chiefs,NFL,Detroit Lions,2025-10-12 20:22:43,FanDuel,6.4,2025-10-12 22:08:25,2025-10-13 00:22:43,2025-10-13 02:08:25,46.07,Kansas City Chiefs
Seattle Mariners @ Toronto Blue Jays,MLB,Toronto Blue Jays,2025-10-12 20:04:45,Caesars,3.6,2025-10-12 22:08:25,2025-10-13 00:04:45,2025-10-13 02:08:25,28.48,Seattle Mariners
Ottawa Redblacks @ Montreal Alouettes,CFL,Ottawa Redblacks,2025-10-13 13:05:00,DraftKings,7.5,2025-10-13 01:31:48,2025-10-13 17:05:00,2025-10-13 05:31:48,2.31,Montreal Alouettes
Miami Heat @ Atlanta Hawks,NBA Preseason,Miami Heat,2025-10-13 18:00:00,BetMGM,3.2,2025-10-13 15:22:47,2025-10-13 22:00:00,2025-10-13 19:22:47,2.36,Atlanta Hawks
Washington Wizards @ New York Knicks,NBA Preseason,New York Knicks,2025-10-13 19:30:00,FanDuel,1.58,2025-10-13 17:59:19,2025-10-13 23:30:00,2025-10-13 21:59:19,6.99,Washington Wizards
Seattle Mariners @ Toronto Blue Jays,MLB,Seattle Mariners,2025-10-13 17:04:00,Caesars,2.1,2025-10-13 17:59:19,2025-10-13 21:04:00,2025-10-13 21:59:19,2.75,Seattle Mariners
Buffalo Bills @ Atlanta Falcons,NFL,Buffalo Bills,2025-10-13 19:15:52,FanDuel,1.8,2025-10-13 19:25:12,2025-10-13 23:15:52,2025-10-13 23:25:12,3.0,Atlanta Falcons
Chicago Bears @ Washington Commanders,NFL,Washington Commanders,2025-10-13 20:16:00,FanDuel,2.02,2025-10-13 22:00:47,2025-10-14 00:16:00,2025-10-14 02:00:47,2.55,Chicago Bears
Los Angeles Dodgers @ Milwaukee Brewers,MLB,Los Angeles Dodgers,2025-10-13 20:08:00,Caesars,1.36,2025-10-13 23:08:11,2025-10-14 00:08:00,2025-10-14 03:08:11,4.4,Los Angeles Dodgers
SSG Landers @ Samsung Lions,KBO,SSG Landers,2025-10-14 05:30:00,BetMGM,2.6,2025-10-14 05:31:27,2025-10-14 09:30:00,2025-10-14 09:31:27,2.05,Samsung Lions
Nashville Predators @ Toronto Maple Leafs,NHL,Nashville Predators,2025-10-14 19:07:58,DraftKings,6.5,2025-10-14 19:59:03,2025-10-14 23:07:58,2025-10-14 23:59:03,5.21,Toronto Maple Leafs
Seattle Kraken @ Montréal Canadiens,NHL,Seattle Kraken,2025-10-14 19:20:03,Caesars,2.05,2025-10-14 22:03:58,2025-10-14 23:20:03,2025-10-15 02:03:58,9.68,Montreal Canadiens
Minnesota Wild @ Dallas Stars,NHL,Minnesota Wild,2025-10-14 21:51:11,BetMGM,4.1,2025-10-14 22:03:58,2025-10-15 01:51:11,2025-10-15 02:03:58,9.42,Dallas Stars
Los Angeles Dodgers @ Milwaukee Brewers,MLB,Milwaukee Brewers,2025-10-14 20:09:00,Caesars,7.4,2025-10-14 22:03:58,2025-10-15 00:09:00,2025-10-15 02:03:58,4.8,Los Angeles Dodgers
Vegas Golden Knights @ Calgary Flames,NHL,Calgary Flames,2025-10-14 21:08:12,BetMGM,6.25,2025-10-14 23:12:08,2025-10-15 01:08:12,2025-10-15 03:12:08,84.73,Vegas Golden Knights
Carolina Hurricanes @ San Jose Sharks,NHL,San Jose Sharks,2025-10-14 22:08:59,DraftKings,16.0,2025-10-14 23:43:50,2025-10-15 02:08:59,2025-10-15 03:43:50,90.0,Carolina Hurricanes
