Match,League,Team,Start Time Est,Pinnacle Edge Book,Pinnacle Edge Odds,Scrape Time Est,Start Time Utc,Scrape Time Utc,Pinnacle Fair Odds,Pin Edge Pct,Result
Charlotte 49ers @ Army Black Knights,NCAAF,Charlotte 49ers,2025-10-11 12:00:00,DraftKings,8.0,2025-10-11 10:26:01,2025-10-11 16:00:00,2025-10-11 14:26:01,7.68,4.23,Army Black Knights
Pittsburgh Panthers @ Florida State Seminoles,NCAAF,Pittsburgh Panthers,2025-10-11 12:00:00,FanDuel,4.5,2025-10-11 10:59:04,2025-10-11 16:00:00,2025-10-11 14:59:04,4.35,3.4,Pittsburgh Panthers
Toledo Rockets @ Bowling Green Falcons,NCAAF,Bowling Green Falcons,2025-10-11 12:00:00,FanDuel,4.4,2025-10-11 11:25:07,2025-10-11 16:00:00,2025-10-11 15:25:07,4.0,10.0,Bowling Green Falcons
Arkansas Razorbacks @ Tennessee Volunteers,NCAAF,Arkansas Razorbacks,2025-10-11 11:52:00,DraftKings,3.6,2025-10-11 16:59:08,2025-10-11 15:52:00,2025-10-11 20:59:08,3.1,16.16,Tennessee Volunteers
Indiana Hoosiers @ Oregon Ducks,NCAAF,Oregon Ducks,2025-10-11 11:49:00,FanDuel,1.68,2025-10-11 16:59:08,2025-10-11 15:49:00,2025-10-11 20:59:08,1.6,5.05,Indiana Hoosiers
Oklahoma Sooners @ Texas Longhorns,NCAAF,Oklahoma Sooners,2025-10-11 11:50:00,DraftKings,1.87,2025-10-11 16:59:08,2025-10-11 15:50:00,2025-10-11 20:59:08,1.82,2.58,Texas Longhorns
TCU Horned Frogs @ Kansas State Wildcats,NCAAF,TCU Horned Frogs,2025-10-11 12:32:00,DraftKings,2.6,2025-10-11 17:23:33,2025-10-11 16:32:00,2025-10-11 21:23:33,1.42,82.63,Kansas State Wildcats
Iowa State Cyclones @ Colorado Buffaloes,NCAAF,Colorado Buffaloes,2025-10-11 12:36:00,DraftKings,2.95,2025-10-11 17:23:33,2025-10-11 16:36:00,2025-10-11 21:23:33,1.78,65.6,Colorado Buffaloes
Northwestern Wildcats @ Penn State Nittany Lions,NCAAF,Penn State Nittany Lions,2025-10-11 15:34:00,Caesars,1.53,2025-10-11 17:59:15,2025-10-11 19:34:00,2025-10-11 21:59:15,1.28,19.94,Northwestern Wildcats
Florida Gators @ Texas A&M Aggies,NCAAF,Florida Gators,2025-10-11 15:31:00,BetMGM,5.75,2025-10-11 19:59:01,2025-10-11 19:31:00,2025-10-11 23:59:01,2.4,139.95,Texas A&M Aggies
BYU Cougars @ Arizona Wildcats,NCAAF,Arizona Wildcats,2025-10-11 15:37:00,FanDuel,4.5,2025-10-11 22:04:33,2025-10-11 19:37:00,2025-10-12 02:04:33,3.86,16.57,BYU Cougars
Georgia Bulldogs @ Auburn Tigers,NCAAF,Auburn Tigers,2025-10-11 15:30:00,DraftKings,1.95,2025-10-11 22:04:33,2025-10-11 19:30:00,2025-10-12 02:04:33,1.76,10.93,Georgia Bulldogs
Chicago Cubs @ Milwaukee Brewers,MLB,Chicago Cubs,2025-10-11 20:08:30,FanDuel,3.8,2025-10-11 22:04:33,2025-10-12 00:08:30,2025-10-12 02:04:33,3.63,4.72,Milwaukee Brewers
South Carolina Gamecocks @ LSU Tigers,NCAAF,LSU Tigers,2025-10-11 15:33:00,Caesars,1.38,2025-10-11 22:04:33,2025-10-11 19:33:00,2025-10-12 02:04:33,1.33,3.63,LSU Tigers
Vegas Golden Knights @ Seattle Kraken,NHL,Vegas Golden Knights,2025-10-11 22:08:44,FanDuel,1.88,2025-10-12 00:59:22,2025-10-12 02:08:44,2025-10-12 04:59:22,1.83,2.55,Seattle Kraken
Denver Broncos @ New York Jets,NFL,New York Jets,2025-10-12 09:30:00,DraftKings,4.3,2025-10-12 01:59:05,2025-10-12 13:30:00,2025-10-12 05:59:05,4.15,3.62,Denver Broncos
Arizona Cardinals @ Indianapolis Colts,NFL,Arizona Cardinals,2025-10-12 13:01:00,BetMGM,4.75,2025-10-12 12:59:28,2025-10-12 17:01:00,2025-10-12 16:59:28,4.6,3.15,Indianapolis Colts
Cleveland Browns @ Pittsburgh Steelers,NFL,Cleveland Browns,2025-10-12 13:02:00,BetMGM,6.25,2025-10-12 13:59:15,2025-10-12 17:02:00,2025-10-12 17:59:15,3.71,68.37,Pittsburgh Steelers
Seattle Seahawks @ Jacksonville Jaguars,NFL,Jacksonville Jaguars,2025-10-12 13:02:48,Caesars,2.75,2025-10-12 13:59:15,2025-10-12 17:02:48,2025-10-12 17:59:15,2.04,34.62,Seattle Seahawks
Los Angeles Rams @ Baltimore Ravens,NFL,Baltimore Ravens,2025-10-12 13:02:00,Caesars,3.3,2025-10-12 13:59:15,2025-10-12 17:02:00,2025-10-12 17:59:15,2.73,20.87,Los Angeles Rams
