Match,League,Team,Start Time,Outlier Book,Outlier Odds,Z Score,Expected Value,Result,Scrape Time
Denver Broncos @ New York Jets,NFL,New York Jets,2025-10-12 13:30:00,DraftKings,4.4,2.15,0.042654028436019,Denver Broncos,2025-10-12T10:59:21Z
Miami Heat @ Los Angeles Clippers,NBA,Los Angeles Clippers,2025-11-04 03:41:00,FanDuel,2.36,2.02,0.3964497041420118,Miami Heat,2025-11-04T05:39:22Z
Louisiana Tech Bulldogs @ Nevada Wolf Pack,NCAAB,Louisiana Tech Bulldogs,2025-11-05 03:00:00,FanDuel,4.85,2.08,0.0232067510548521,Nevada Wolf Pack,2025-11-05T01:48:12Z
Edmonton Oilers @ Dallas Stars,NHL,Edmonton Oilers,2025-11-05 01:08:30,FanDuel,2.72,2.03,0.2830188679245282,Dallas Stars,2025-11-05T03:48:53Z
Eastern Washington Eagles @ Loyola Marymount Lions,NCAAB,Eastern Washington Eagles,2025-11-06 03:30:00,Caesars,5.3,2.24,0.1205073995771668,Loyola Marymount Lions,2025-11-06T03:16:35Z
Burnley @ West Ham United,EPL,West Ham United,2025-11-08 15:00:00,Caesars,4.4,2.03,0.6666666666666669,West Ham United,2025-11-08T15:48:24Z
Georgia Bulldogs @ Mississippi State Bulldogs,NCAAF,Mississippi State Bulldogs,2025-11-08 16:54:00,Caesars,4.5,2.04,0.267605633802817,Georgia Bulldogs,2025-11-08T17:40:35Z
Kansas Jayhawks @ Arizona Wildcats,NCAAF,Kansas Jayhawks,2025-11-08 17:38:00,Caesars,1.83,2.02,0.1582278481012657,Arizona Wildcats,2025-11-08T23:30:28Z
Pacific Tigers @ Nevada Wolf Pack,NCAAB,Pacific Tigers,2025-11-09 03:05:00,FanDuel,8.4,2.24,0.0579345088161209,Nevada Wolf Pack,2025-11-09T03:05:49Z
Western Michigan Broncos @ Campbell Fighting Camels,NCAAB,Western Michigan Broncos,2025-11-09 17:30:00,FanDuel,4.9,2.14,0.0470085470085471,Campbell Fighting Camels,2025-11-09T17:17:16Z
New Orleans Saints @ Carolina Panthers,NFL,New Orleans Saints,2025-11-09 18:02:43,Caesars,2.6,2.03,0.3333333333333336,New Orleans Saints,2025-11-09T19:56:24Z
Detroit Lions @ Washington Commanders,NFL,Washington Commanders,2025-11-09 21:25:00,DraftKings,4.8,2.03,0.0322580645161288,Detroit Lions,2025-11-09T20:58:51Z
Houston Rockets @ Milwaukee Bucks,NBA,Houston Rockets,2025-11-09 20:40:57,Caesars,4.8,2.01,0.5483870967741933,Houston Rockets,2025-11-09T22:51:03Z
Montana Grizzlies @ UNLV Rebels,NCAAB,Montana Grizzlies,2025-11-12 03:05:00,FanDuel,5.8,2.22,0.0469314079422382,Montana Grizzlies,2025-11-12T03:04:39Z
Columbus Blue Jackets @ Seattle Kraken,NHL,Seattle Kraken,2025-11-12 03:11:51,DraftKings,2.7,2.03,0.3043478260869566,Columbus Blue Jackets,2025-11-12T05:56:43Z
Buffalo Sabres @ Colorado Avalanche,NHL,Buffalo Sabres,2025-11-14 02:08:36,BetMGM,11.0,2.02,0.5804597701149424,Colorado Avalanche,2025-11-14T04:12:20Z
Winnipeg Jets @ Seattle Kraken,NHL,Winnipeg Jets,2025-11-14 03:09:36,BetMGM,34.0,2.02,2.4068136272545084,Seattle Kraken,2025-11-14T05:48:42Z
Michigan Wolverines @ Northwestern Wildcats,NCAAF,Northwestern Wildcats,2025-11-15 16:52:00,FanDuel,5.6,2.02,0.1133200795228627,Michigan Wolverines,2025-11-15T17:17:03Z
South Carolina Gamecocks @ Texas A&M Aggies,NCAAF,South Carolina Gamecocks,2025-11-15 16:51:00,Caesars,1.22,2.03,0.0338983050847458,Texas A&M Aggies,2025-11-15T19:25:01Z
Memphis Grizzlies @ Cleveland Cavaliers,NBA,Memphis Grizzlies,2025-11-15 22:10:00,Caesars,5.3,2.01,0.0211946050096337,Cleveland Cavaliers,2025-11-15T21:55:19Z
Wright St Raiders @ Kent State Golden Flashes,NCAAB,Wright St Raiders,2025-11-16 17:00:00,FanDuel,2.76,2.04,0.022222222222222,Kent State Golden Flashes,2025-11-16T15:32:04Z
CSU Bakersfield Roadrunners @ Portland St Vikings,NCAAB,CSU Bakersfield Roadrunners,2025-11-18 03:05:00,FanDuel,4.4,2.11,0.0918114143920596,Portland St Vikings,2025-11-18T03:04:45Z
Hampton Pirates @ Boston College Eagles,NCAAB,Hampton Pirates,2025-11-19 00:00:00,FanDuel,8.1,2.2,0.0945945945945944,Boston College Eagles,2025-11-18T19:48:25Z
UC Riverside Highlanders @ Cal Baptist Lancers,NCAAB,UC Riverside Highlanders,2025-11-19 03:05:00,FanDuel,9.0,2.24,0.1889035667106999,Cal Baptist Lancers,2025-11-19T03:04:00Z
Utah Jazz @ Los Angeles Lakers,NBA,Utah Jazz,2025-11-19 03:40:00,BetMGM,6.75,2.09,0.0416666666666666,Los Angeles Lakers,2025-11-19T03:04:00Z
Robert Morris Colonials @ St. Bonaventure Bonnies,NCAAB,Robert Morris Colonials,2025-11-20 23:00:00,FanDuel,7.4,2.13,0.0511363636363637,St. Bonaventure Bonnies,2025-11-20T20:26:48Z
Boston Bruins @ Los Angeles Kings,NHL,Los Angeles Kings,2025-11-22 03:39:55,Caesars,6.5,2.04,2.000336676962175,Boston Bruins,2025-11-22T05:59:43Z
Nevada Wolf Pack @ Wyoming Cowboys,NCAAF,Wyoming Cowboys,2025-11-22 19:07:33,FanDuel,8.5,2.01,1.5346187107638332,Nevada Wolf Pack,2025-11-22T21:53:34Z
Utah Utes @ Kansas Jayhawks,NCAAF,Kansas Jayhawks,2025-11-28 16:58:00,Fanatics,15.0,2.03,3.530144033708744,Utah Utes,2025-11-28T19:53:11Z
Colorado Avalanche @ Minnesota Wild,NHL,Minnesota Wild,2025-11-28 20:42:10,BetMGM,7.5,2.03,1.7820478885623567,Minnesota Wild,2025-11-28T22:59:29Z
Philadelphia Flyers @ New York Islanders,NHL,New York Islanders,2025-11-28 21:08:19,DraftKings,5.5,2.03,1.4602188868995434,Philadelphia Flyers,2025-11-28T23:49:23Z
Calgary Flames @ Florida Panthers,NHL,Florida Panthers,2025-11-28 21:08:28,BetMGM,34.0,2.02,3.0103248236451563,Calgary Flames,2025-11-28T23:49:23Z
Queens Park Rangers @ Norwich City,Championship,Norwich City,2025-11-29 15:00:00,Caesars,2.5,2.02,0.8932661587187009,Norwich City,2025-11-29T15:38:32Z
North Carolina Tar Heels @ Kentucky Wildcats,NCAAB,Kentucky Wildcats,2025-12-03 02:40:28,DraftKings,26.0,2.02,4.2902212340493815,North Carolina Tar Heels,2025-12-03T04:57:26Z
Leicester City @ Bristol City,Championship,Draw,2025-12-10 19:45:00,BetMGM,3.9,2.03,1.4627098686973834,Draw,2025-12-10T21:32:15Z
Napoli @ Udinese,Serie A - Italy,Napoli,2025-12-14T14:00:00Z,DraftKings,15.0,2.04,2.5516737206368267,Not Found,2025-12-14T15:28:38Z
Lille @ Auxerre,Ligue 1 - France,Auxerre,2025-12-14T16:14:00Z,DraftKings,46.0,2.04,4.227219280886853,Not Found,2025-12-14T17:59:04Z
