Match,Team,Start Time,League,Draftkings,Pinnacle,Fanatics,Betmgm,Fanduel,Betonline.Ag,Caesars,Fair Odds Avg,Event Id,Z Score,Expected Value,Best Odds,Best Bookmaker,Result,Outcomes,Event ID,Scrape Time
Denver Broncos @ New York Jets,New York Jets,2025-10-12T13:30:00Z,NFL,4.4,4.0,4.0,4.0,4.1,4.0,4.0,4.22,,2.15,0.042654028436019,4.4,DraftKings,Denver Broncos,2,Not Found,2025-10-12T10:59:21Z
Miami Heat @ Los Angeles Clippers,Los Angeles Clippers,2025-11-04T03:41:00Z,NBA,1.45,1.47,1.61,1.5,2.36,,1.5,1.69,Not Found,2.02,0.3964497041420118,2.36,FanDuel,Miami Heat,2,,2025-11-04T05:39:22Z
Louisiana Tech Bulldogs @ Nevada Wolf Pack,Louisiana Tech Bulldogs,2025-11-05T03:00:00Z,NCAAB,4.5,4.54,4.5,4.4,4.85,4.58,4.45,4.74,Not Found,2.08,0.0232067510548521,4.85,FanDuel,Nevada Wolf Pack,2,,2025-11-05T01:48:12Z
Edmonton Oilers @ Dallas Stars,Edmonton Oilers,2025-11-05T01:08:30Z,NHL,1.87,1.97,1.87,1.91,2.72,,1.87,2.12,Not Found,2.03,0.2830188679245282,2.72,FanDuel,Dallas Stars,2,,2025-11-05T03:48:53Z
Eastern Washington Eagles @ Loyola Marymount Lions,Eastern Washington Eagles,2025-11-06T03:30:00Z,NCAAB,4.5,4.38,4.5,4.4,4.4,4.4,5.3,4.73,Not Found,2.24,0.1205073995771668,5.3,Caesars,Loyola Marymount Lions,2,,2025-11-06T03:16:35Z
Burnley @ West Ham United,West Ham United,2025-11-08T15:00:00Z,EPL,2.35,2.37,2.3,2.25,2.1,,4.4,2.64,Not Found,2.03,0.6666666666666669,4.4,Caesars,West Ham United,3,,2025-11-08T15:48:24Z
Georgia Bulldogs @ Mississippi State Bulldogs,Mississippi State Bulldogs,2025-11-08T16:54:00Z,NCAAF,3.2,3.16,3.2,3.25,3.15,,4.5,3.55,Not Found,2.04,0.267605633802817,4.5,Caesars,Georgia Bulldogs,2,,2025-11-08T17:40:35Z
Kansas Jayhawks @ Arizona Wildcats,Kansas Jayhawks,2025-11-08T17:38:00Z,NCAAF,1.41,1.48,1.43,1.44,1.44,,1.83,1.58,Not Found,2.02,0.1582278481012657,1.83,Caesars,Arizona Wildcats,2,,2025-11-08T23:30:28Z
Pacific Tigers @ Nevada Wolf Pack,Pacific Tigers,2025-11-09T03:05:00Z,NCAAB,7.5,7.41,7.5,7.5,8.4,7.61,7.5,7.94,Not Found,2.24,0.0579345088161209,8.4,FanDuel,Nevada Wolf Pack,2,,2025-11-09T03:05:49Z
Western Michigan Broncos @ Campbell Fighting Camels,Western Michigan Broncos,2025-11-09T17:30:00Z,NCAAB,4.4,4.32,4.5,4.4,4.9,4.5,4.45,4.68,Not Found,2.14,0.0470085470085471,4.9,FanDuel,Campbell Fighting Camels,2,,2025-11-09T17:17:16Z
New Orleans Saints @ Carolina Panthers,New Orleans Saints,2025-11-09T18:02:43Z,NFL,1.74,1.77,1.69,1.74,1.77,,2.6,1.95,Not Found,2.03,0.3333333333333336,2.6,Caesars,New Orleans Saints,2,,2025-11-09T19:56:24Z
Detroit Lions @ Washington Commanders,Washington Commanders,2025-11-09T21:25:00Z,NFL,4.8,4.51,4.5,4.4,4.3,4.44,4.4,4.65,Not Found,2.03,0.0322580645161288,4.8,DraftKings,Detroit Lions,2,,2025-11-09T20:58:51Z
Houston Rockets @ Milwaukee Bucks,Houston Rockets,2025-11-09T20:40:57Z,NBA,2.75,2.61,2.75,2.54,3.0,,4.8,3.1,Not Found,2.01,0.5483870967741933,4.8,Caesars,Houston Rockets,2,,2025-11-09T22:51:03Z
Montana Grizzlies @ UNLV Rebels,Montana Grizzlies,2025-11-12T03:05:00Z,NCAAB,5.25,5.22,5.25,5.25,5.8,5.15,5.3,5.54,Not Found,2.22,0.0469314079422382,5.8,FanDuel,Montana Grizzlies,2,,2025-11-12T03:04:39Z
Columbus Blue Jackets @ Seattle Kraken,Seattle Kraken,2025-11-12T03:11:51Z,NHL,2.7,1.86,1.83,1.91,1.85,,1.8,2.07,Not Found,2.03,0.3043478260869566,2.7,DraftKings,Columbus Blue Jackets,2,,2025-11-12T05:56:43Z
Buffalo Sabres @ Colorado Avalanche,Buffalo Sabres,2025-11-14T02:08:36Z,NHL,6.2,5.78,5.75,11.0,6.4,,6.5,6.96,Not Found,2.02,0.5804597701149424,11.0,BetMGM,Colorado Avalanche,2,,2025-11-14T04:12:20Z
Winnipeg Jets @ Seattle Kraken,Winnipeg Jets,2025-11-14T03:09:36Z,NHL,9.5,6.41,8.0,34.0,11.0,,8.0,9.98,Not Found,2.02,2.4068136272545084,34.0,BetMGM,Seattle Kraken,2,,2025-11-14T05:48:42Z
Michigan Wolverines @ Northwestern Wildcats,Northwestern Wildcats,2025-11-15T16:52:00Z,NCAAF,4.6,4.51,5.0,4.5,5.6,4.61,4.8,5.03,Not Found,2.02,0.1133200795228627,5.6,FanDuel,Michigan Wolverines,2,,2025-11-15T17:17:03Z
South Carolina Gamecocks @ Texas A&M Aggies,South Carolina Gamecocks,2025-11-15T16:51:00Z,NCAAF,1.1,1.1,1.11,1.1,1.1,,1.22,1.18,Not Found,2.03,0.0338983050847458,1.22,Caesars,Texas A&M Aggies,2,,2025-11-15T19:25:01Z
Memphis Grizzlies @ Cleveland Cavaliers,Memphis Grizzlies,2025-11-15T22:10:00Z,NBA,4.9,5.0,5.0,5.0,4.85,4.83,5.3,5.19,Not Found,2.01,0.0211946050096337,5.3,Caesars,Cleveland Cavaliers,2,,2025-11-15T21:55:19Z
Wright St Raiders @ Kent State Golden Flashes,Wright St Raiders,2025-11-16T17:00:00Z,NCAAB,2.6,2.54,2.6,2.5,2.76,2.57,2.58,2.7,Not Found,2.04,0.022222222222222,2.76,FanDuel,Kent State Golden Flashes,2,,2025-11-16T15:32:04Z
CSU Bakersfield Roadrunners @ Portland St Vikings,CSU Bakersfield Roadrunners,2025-11-18T03:05:00Z,NCAAB,3.6,3.91,3.8,3.8,4.4,3.78,3.78,4.03,Not Found,2.11,0.0918114143920596,4.4,FanDuel,Portland St Vikings,2,,2025-11-18T03:04:45Z
Hampton Pirates @ Boston College Eagles,Hampton Pirates,2025-11-19T00:00:00Z,NCAAB,7.0,7.07,7.0,6.75,8.1,6.86,7.0,7.4,Not Found,2.2,0.0945945945945944,8.1,FanDuel,Boston College Eagles,2,,2025-11-18T19:48:25Z
UC Riverside Highlanders @ Cal Baptist Lancers,UC Riverside Highlanders,2025-11-19T03:05:00Z,NCAAB,7.0,6.89,7.0,7.25,9.0,6.98,7.0,7.57,Not Found,2.24,0.1889035667106999,9.0,FanDuel,Cal Baptist Lancers,2,,2025-11-19T03:04:00Z
Utah Jazz @ Los Angeles Lakers,Utah Jazz,2025-11-19T03:40:00Z,NBA,6.25,6.18,6.0,6.75,6.2,6.17,6.0,6.48,Not Found,2.09,0.0416666666666666,6.75,BetMGM,Los Angeles Lakers,2,,2025-11-19T03:04:00Z
Robert Morris Colonials @ St. Bonaventure Bonnies,Robert Morris Colonials,2025-11-20T23:00:00Z,NCAAB,6.75,6.7,6.5,6.75,7.4,6.61,6.5,7.04,Not Found,2.13,0.0511363636363637,7.4,FanDuel,St. Bonaventure Bonnies,2,,2025-11-20T20:26:48Z
Boston Bruins @ Los Angeles Kings,Los Angeles Kings,2025-11-22T03:39:55Z,NHL,1.77,,1.69,1.8,1.71,,6.5,2.17,Not Found,2.04,2.000336676962175,6.5,Caesars,Boston Bruins,2,,2025-11-22T05:59:43Z
Nevada Wolf Pack @ Wyoming Cowboys,Wyoming Cowboys,2025-11-22T19:07:33Z,NCAAF,2.75,,2.6,2.5,8.5,,2.75,3.35,Not Found,2.01,1.5346187107638332,8.5,FanDuel,Nevada Wolf Pack,2,,2025-11-22T21:53:34Z
Utah Utes @ Kansas Jayhawks,Kansas Jayhawks,2025-11-28T16:58:00Z,NCAAF,2.35,,15.0,2.5,2.62,,3.05,3.31,Not Found,2.03,3.530144033708744,15.0,Fanatics,Utah Utes,2,,2025-11-28T19:53:11Z
Colorado Avalanche @ Minnesota Wild,Minnesota Wild,2025-11-28T20:42:10Z,NHL,2.05,,2.1,7.5,2.18,,2.45,2.7,Not Found,2.03,1.7820478885623567,7.5,BetMGM,Minnesota Wild,2,,2025-11-28T22:59:29Z
Philadelphia Flyers @ New York Islanders,New York Islanders,2025-11-28T21:08:19Z,NHL,5.5,,1.8,1.91,1.87,,1.74,2.24,Not Found,2.03,1.4602188868995434,5.5,DraftKings,Philadelphia Flyers,2,,2025-11-28T23:49:23Z
Calgary Flames @ Florida Panthers,Florida Panthers,2025-11-28T21:08:28Z,NHL,7.0,,5.5,34.0,6.6,,8.5,8.48,Not Found,2.02,3.0103248236451563,34.0,BetMGM,Calgary Flames,2,,2025-11-28T23:49:23Z
