Match,Team,Start Time,League,Caesars,Draftkings,Fanduel,Pinnacle,Fanatics,Betmgm,Betonline.Ag,Avg Edge Pct,Fair Odds Avg,Best Odds,Best Bookmaker,Result,Outcomes,Event ID,Scrape Time,Event ID Commence Time,Closing Line Odds,Closing Line Book,API Snapshot Timestamp
Pittsburgh Panthers @ Florida State Seminoles,Pittsburgh Panthers,2025-10-11 12:00:00,NCAAF,4.1,4.2,4.5,4.19,4.05,,4.03,3.4,4.35,4.5,FanDuel,Pittsburgh Panthers,2,e10dad3c927f07d7129982a4a4563de8,2025-10-11 10:59:02,2025-10-11T16:00:00Z,300,FanDuel,2025-10-11T15:55:39Z
Toledo Rockets @ Bowling Green Falcons,Bowling Green Falcons,2025-10-11 12:00:00,NCAAF,4.1,4.0,4.4,3.87,4.05,,3.89,4.51,4.21,4.4,FanDuel,Bowling Green Falcons,2,d9d7e0d0a40be472b39e0d0c54e13633,2025-10-11 11:25:05,2025-10-11T16:00:00Z,330,FanDuel,2025-10-11T15:55:39Z
Arkansas Razorbacks @ Tennessee Volunteers,Arkansas Razorbacks,2025-10-11 11:52:00,NCAAF,3.0,3.6,3.15,2.96,3.6,3.5,,3.9,3.47,3.6,DraftKings,Tennessee Volunteers,2,a0ce391a3e1dcc42703e273e7cd43308,2025-10-11 16:59:06,2025-10-11T20:15:00Z,,,
TCU Horned Frogs @ Kansas State Wildcats,TCU Horned Frogs,2025-10-11 12:32:00,NCAAF,2.35,2.6,2.52,1.36,2.6,2.4,,12.67,2.31,2.6,DraftKings,Kansas State Wildcats,2,66153d8e67a550f1f9ee3afbee0bb357,2025-10-11 17:23:31,2025-10-11T19:30:00Z,,,
Iowa State Cyclones @ Colorado Buffaloes,Colorado Buffaloes,2025-10-11 12:36:00,NCAAF,2.65,2.95,2.68,1.68,2.85,2.95,,10.09,2.68,2.95,DraftKings,Colorado Buffaloes,2,2158ab9881202465881edfe230af0bf6,2025-10-11 17:23:31,2025-10-11T19:30:00Z,,,
Indiana Hoosiers @ Oregon Ducks,Oregon Ducks,2025-10-11 11:49:00,NCAAF,1.87,1.8,2.0,1.48,1.87,1.91,,4.56,1.91,2.0,FanDuel,Indiana Hoosiers,2,2bba5df15d3c9222962c8bb8fc24ae80,2025-10-11 17:23:31,2025-10-11T19:30:00Z,,,
Oklahoma Sooners @ Texas Longhorns,Oklahoma Sooners,2025-10-11 11:50:00,NCAAF,2.8,3.2,3.35,2.12,3.15,3.1,,9.58,3.06,3.35,FanDuel,Texas Longhorns,2,ec5a3648e7b879155389f31cc523f840,2025-10-11 17:59:14,2025-10-11T19:30:00Z,,,
Northwestern Wildcats @ Penn State Nittany Lions,Penn State Nittany Lions,2025-10-11 15:34:00,NCAAF,2.6,1.8,1.72,1.54,2.7,2.0,,29.15,2.09,2.7,Fanatics,Northwestern Wildcats,2,c72db8267333fdc3c1e924d377d5531f,2025-10-11 18:27:53,2025-10-11T19:30:00Z,,,
Florida Gators @ Texas A&M Aggies,Florida Gators,2025-10-11 15:31:00,NCAAF,3.8,4.5,5.7,2.29,5.0,5.75,,33.53,4.31,5.75,BetMGM,Texas A&M Aggies,2,2f94142f11ca602b35004f81f0fb6bb4,2025-10-11 19:58:59,2025-10-11T23:00:00Z,,,
South Carolina Gamecocks @ LSU Tigers,South Carolina Gamecocks,2025-10-11 15:33:00,NCAAF,3.0,3.6,3.15,3.86,3.05,3.3,,3.13,3.49,3.6,DraftKings,LSU Tigers,2,4a191067aa0558b3ee24343551fbd8d1,2025-10-11 22:04:31,2025-10-11T23:45:00Z,,,
BYU Cougars @ Arizona Wildcats,Arizona Wildcats,2025-10-11 15:37:00,NCAAF,4.5,4.25,4.5,3.69,3.85,4.33,,2.18,4.4,4.5,FanDuel,BYU Cougars,2,bab9f41c47521171fd5a7452bf778f5a,2025-10-11 22:04:31,2025-10-12T00:00:00Z,,,
Georgia Bulldogs @ Auburn Tigers,Auburn Tigers,2025-10-11 15:30:00,NCAAF,7.4,7.5,9.0,4.31,7.4,7.75,,24.64,7.22,9.0,FanDuel,Georgia Bulldogs,2,5a1127219ae128003dc5154af7f3561e,2025-10-11 23:09:22,2025-10-11T23:30:00Z,,,
Arizona State Sun Devils @ Utah Utes,Arizona State Sun Devils,2025-10-11 15:31:00,NCAAF,4.2,4.4,4.7,3.69,4.55,4.75,,3.0,4.61,4.75,BetMGM,Utah Utes,2,a109b71f4beba173453582bb0043e075,2025-10-11 23:09:22,2025-10-12T02:15:00Z,,,
Denver Broncos @ New York Jets,New York Jets,2025-10-12 09:30:00,NFL,4.0,4.3,3.9,4.0,4.0,4.0,4.0,2.86,4.18,4.3,DraftKings,Denver Broncos,2,e34812ee7fbf13bd75e4298bccfbdd10,2025-10-12 01:59:03,2025-10-12T13:30:00Z,310,FanDuel,2025-10-12T13:25:38Z
Arizona Cardinals @ Indianapolis Colts,Arizona Cardinals,2025-10-12 13:01:00,NFL,4.4,4.5,4.4,4.47,4.3,4.75,4.16,3.41,4.59,4.75,BetMGM,Indianapolis Colts,2,dfa87b0532de1389297103c2e3195347,2025-10-12 12:59:26,2025-10-12T17:01:00Z,340,FanDuel,2025-10-12T17:00:38Z
Cleveland Browns @ Pittsburgh Steelers,Cleveland Browns,2025-10-12 13:02:00,NFL,5.5,6.0,5.0,3.58,4.75,6.25,,18.36,5.28,6.25,BetMGM,Pittsburgh Steelers,2,a11bbccb332241029ebaeb519b93b776,2025-10-12 13:59:13,2025-10-12T17:01:00Z,,,
Los Angeles Rams @ Baltimore Ravens,Baltimore Ravens,2025-10-12 13:02:00,NFL,3.3,2.95,2.9,2.63,2.9,3.1,,5.88,3.12,3.3,Caesars,Los Angeles Rams,2,b235bc78609644cb28492cc1d6ad69fd,2025-10-12 13:59:13,2025-10-12T17:01:00Z,,,
Dallas Cowboys @ Carolina Panthers,Carolina Panthers,2025-10-12 13:01:00,NFL,2.35,2.0,2.28,1.95,2.2,2.1,,3.86,2.26,2.35,Caesars,Carolina Panthers,2,dd3a14fa1529e79bd338a7bfd71d5b3a,2025-10-12 13:59:13,2025-10-12T17:01:00Z,,,
Seattle Seahawks @ Jacksonville Jaguars,Jacksonville Jaguars,2025-10-12 13:02:48,NFL,2.75,2.65,2.72,1.95,2.65,2.6,,3.38,2.66,2.75,Caesars,Seattle Seahawks,2,e5dd1fed586cfc0ec2d7c06f2a02c37a,2025-10-12 13:59:13,2025-10-12T17:00:00Z,,,
Los Angeles Chargers @ Miami Dolphins,Los Angeles Chargers,2025-10-12 13:01:00,NFL,2.0,1.95,2.02,1.49,1.91,1.95,,2.13,1.98,2.02,FanDuel,Los Angeles Chargers,2,a7211a87bbd5fb2ee473eb9c93ee2e68,2025-10-12 14:35:15,2025-10-12T17:01:00Z,,,
New England Patriots @ New Orleans Saints,New Orleans Saints,2025-10-12 13:02:50,NFL,5.0,4.9,5.3,2.16,4.5,5.0,,24.04,4.27,5.3,FanDuel,New England Patriots,2,f2c642e1f95555424b9a9a4f03733b42,2025-10-12 14:58:56,2025-10-12T17:00:00Z,,,
Tennessee Titans @ Las Vegas Raiders,Tennessee Titans,2025-10-12 16:06:00,NFL,6.5,6.0,5.3,3.49,5.0,5.75,,19.92,5.42,6.5,Caesars,Las Vegas Raiders,2,4963bff460a5f26cab46a8e5ea6db148,2025-10-12 16:59:22,2025-10-12T20:06:00Z,,,
