Match,League,Team,Start Time,Outlier Book,Outlier Odds,Modified Z Score,Result,Scrape Time
San Diego Padres @ New York Mets,MLB,San Diego Padres,2025-09-18 13:11:00,Nordic Bet,20.0,5.4,Not Found,2025-09-18 14:55:32
FC Kairat @ Sporting Lisbon,UEFA Champions League,FC Kairat,2025-09-18 15:00:00,Betsson,41.0,4.72,Not Found,2025-09-18 14:55:32
Operario PR @ Botafogo,Brazil Série B,Operario PR,2025-09-18 18:00:00,Pinnacle,3.14,3.91,Not Found,2025-09-18 14:55:32
Växjö Lakers @ Timrå IK,SHL,Draw,2025-09-18 13:02:00,Winamax (DE),5.2,3.37,Not Found,2025-09-18 14:55:32
Rögle BK @ Luleå HF,SHL,Rögle BK,2025-09-18 13:03:00,Unibet,1.44,3.15,Not Found,2025-09-18 14:55:32
Barcelona @ Newcastle United,UEFA Champions League,Draw,2025-09-18 15:00:00,Suprabets,3.91,3.11,Not Found,2025-09-18 14:55:32
Galatasaray @ Eintracht Frankfurt,UEFA Champions League,Galatasaray,2025-09-18 15:00:00,1xBet,3.06,2.83,Not Found,2025-09-18 14:55:32
Miami Marlins @ Colorado Rockies,MLB,Miami Marlins,2025-09-18 15:10:00,LowVig.ag,1.61,2.7,Not Found,2025-09-18 14:55:32
Oakland Athletics @ Boston Red Sox,MLB,Oakland Athletics,2025-09-18 13:36:00,FanDuel,1.5,2.7,Not Found,2025-09-18 14:55:32
Toronto Blue Jays @ Tampa Bay Rays,MLB,Toronto Blue Jays,2025-09-18 13:11:00,FanDuel,9.3,2.64,Not Found,2025-09-18 14:55:32
Rochester Red Wings @ Worcester Red Sox,MiLB,Rochester Red Wings,2025-09-18 18:05:00,BetRivers,2.18,2.25,Not Found,2025-09-18 14:55:32
Djurgårdens IF @ Linköping HC,SHL,Djurgårdens IF,2025-09-18 13:00:00,Unibet,1.13,2.02,Not Found,2025-09-18 14:55:32
Leksands IF @ Malmö Redhawks,SHL,Malmö Redhawks,2025-09-18 13:00:00,Unibet,3.15,2.02,Not Found,2025-09-18 14:55:32
Napoli @ Manchester City,UEFA Champions League,Manchester City,2025-09-18 15:00:00,Unibet (NL),1.63,2.02,Not Found,2025-09-18 14:55:32
Sao Paulo @ LDU Quito,Copa Libertadores,Draw,2025-09-18 18:00:00,Coolbet,3.05,2.02,Not Found,2025-09-18 14:55:32
