Match,League,Team,Start Time,Outlier Book,Outlier Odds,Z Score,Result,Scrape Time
Växjö Lakers @ Timrå IK,SHL,Timrå IK,2025-09-18 13:02:00,Unibet,1.37,5.47,Not Found,2025-09-18 14:55:32
Toronto Blue Jays @ Tampa Bay Rays,MLB,Tampa Bay Rays,2025-09-18 13:11:00,Bovada,1.26,5.02,Not Found,2025-09-18 14:55:32
Cleveland Guardians @ Detroit Tigers,MLB,Cleveland Guardians,2025-09-18 13:11:00,Bovada,3.55,4.69,Not Found,2025-09-18 14:55:32
San Diego Padres @ New York Mets,MLB,New York Mets,2025-09-18 13:11:00,Bovada,1.69,4.12,Not Found,2025-09-18 14:55:32
Leksands IF @ Malmö Redhawks,SHL,Draw,2025-09-18 13:00:00,Unibet,2.33,3.87,Not Found,2025-09-18 14:55:32
Seattle Mariners @ Kansas City Royals,MLB,Seattle Mariners,2025-09-18 14:11:00,Bovada,1.85,3.74,Not Found,2025-09-18 14:55:32
Napoli @ Manchester City,UEFA Champions League,Napoli,2025-09-18 15:00:00,Suprabets,6.2,3.65,Not Found,2025-09-18 14:55:32
FC Kairat @ Sporting Lisbon,UEFA Champions League,FC Kairat,2025-09-18 15:00:00,Betsson,41.0,3.64,Not Found,2025-09-18 14:55:32
Galatasaray @ Eintracht Frankfurt,UEFA Champions League,Galatasaray,2025-09-18 15:00:00,1xBet,3.06,3.29,Not Found,2025-09-18 14:55:32
Frölunda HC @ Örebro HK,SHL,Draw,2025-09-18 13:00:00,Unibet,2.18,3.2,Not Found,2025-09-18 14:55:32
Barcelona @ Newcastle United,UEFA Champions League,Newcastle United,2025-09-18 15:00:00,1xBet,2.6,3.14,Not Found,2025-09-18 14:55:32
Operario PR @ Botafogo,Brazil Série B,Operario PR,2025-09-18 18:00:00,Pinnacle,3.14,2.95,Not Found,2025-09-18 14:55:32
Djurgårdens IF @ Linköping HC,SHL,Djurgårdens IF,2025-09-18 13:00:00,Unibet,1.13,2.71,Not Found,2025-09-18 14:55:32
Oakland Athletics @ Boston Red Sox,MLB,Boston Red Sox,2025-09-18 13:36:00,Casumo,3.05,2.69,Not Found,2025-09-18 14:55:32
Färjestad BK @ Skellefteå AIK,SHL,Skellefteå AIK,2025-09-18 13:01:00,Unibet,18.0,2.69,Not Found,2025-09-18 14:55:32
Rögle BK @ Luleå HF,SHL,Rögle BK,2025-09-18 13:03:00,Unibet,1.44,2.44,Not Found,2025-09-18 14:55:32
Sao Paulo @ LDU Quito,Copa Libertadores,Draw,2025-09-18 18:00:00,Coolbet,3.05,2.16,Not Found,2025-09-18 14:55:32
