ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,FanDuel,Winamax (FR),Winamax (DE),Betclic (FR),BetMGM,Betsson,Nordic Bet,Betfair,DraftKings,Unibet (SE),LeoVegas (SE),Pinnacle,Matchbook,Polymarket,Kalshi,GTbets,Novig,Coolbet,888sport,Unibet (NL),BetRivers,ProphetX,BetOnline.ag,LowVig.ag,Bovada,BetUS,1xBet,BetOpenly,William Hill,Marathon Bet,Everygame,Parions Sport (FR),Vigfree FanDuel,Vigfree Winamax (FR),Vigfree Winamax (DE),Vigfree Betclic (FR),Vigfree BetMGM,Vigfree Betsson,Vigfree Nordic Bet,Vigfree Betfair,Vigfree DraftKings,Vigfree Unibet (SE),Vigfree LeoVegas (SE),Vigfree Pinnacle,Vigfree Matchbook,Vigfree Polymarket,Vigfree Kalshi,Vigfree GTbets,Vigfree Novig,Vigfree Coolbet,Vigfree 888sport,Vigfree Unibet (NL),Vigfree BetRivers,Vigfree ProphetX,Vigfree BetOnline.ag,Vigfree LowVig.ag,Vigfree Bovada,Vigfree BetUS,Vigfree 1xBet,Vigfree BetOpenly,Vigfree William Hill,Vigfree Marathon Bet,Vigfree Everygame,Vigfree Parions Sport (FR),Start Date,Tipico,Codere (IT),Vigfree Tipico,Vigfree Codere (IT),Unibet (FR),BetAnything,Vigfree Unibet (FR),Vigfree BetAnything,Suprabets,PMU (FR),Vigfree Suprabets,Vigfree PMU (FR),Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
8221f60b95854b96a55b807b00fbc740,basketball_ncaab,NCAAB,2026-02-15T03:30:00Z,2026-02-15T02:23:54Z,Saint Mary's Gaels @ Pacific Tigers,Pacific Tigers,3.7,,,,3.75,3.5,3.5,,3.7,,,3.66,,4.0,4.17,,3.77,,3.6,3.55,3.55,3.8,3.63,3.63,3.8,3.65,3.72,3.75,,3.02,,,0.2475,,,,0.2457,0.2492,0.2492,,0.2475,,,0.2549,,0.2462,0.2353,,0.2595,,0.2513,0.2532,0.2532,0.2528,0.2561,0.2561,0.241,0.2553,0.2376,0.2545,,0.2952,,,,,,,,,,,,,,,,Kalshi,4.17,3.97,0.05,2.0,Not Found
2af5dd9cc92470be266f4c6f519c62de,basketball_ncaab,NCAAB,2026-02-15T01:06:21Z,2026-02-15T02:34:38Z,Virginia Cavaliers @ Ohio State Buckeyes,Virginia Cavaliers,1.9,,,,2.6,,2.38,,2.45,,,1.51,,2.5,2.5,2.61,1.69,,2.4,2.7,2.6,,,,,,,,,,,,0.4958,,,,0.3545,,0.3722,,0.3773,,,0.6396,,0.3894,0.3855,0.3537,0.5543,,0.375,0.3404,0.3427,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,2.5,2.41,0.04,2.0,Not Found
7a7dc69921d6fe9435ab4735ad67ac00,basketball_ncaab,NCAAB,2026-02-15T02:00:46Z,2026-02-15T02:50:10Z,Minnesota Golden Gophers @ Washington Huskies,Minnesota Golden Gophers,14.0,,,,10.0,,8.5,,11.0,,,2.75,,12.5,14.29,8.46,10.99,,10.0,11.5,10.0,9.4,,,,,,,,,,,0.0455,,,,0.0692,,0.0686,,0.0693,,,0.3394,,0.0683,0.0633,0.0874,0.0782,,0.0646,0.058,0.0598,0.0859,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,14.29,11.23,0.27,2.0,Not Found
d513190b89e339bed96079aa57b72d2d,basketball_ncaab,NCAAB,2026-02-15T01:40:10Z,2026-02-15T02:50:10Z,Auburn Tigers @ Arkansas Razorbacks,Auburn Tigers,6.6,,,,6.25,,5.2,,7.5,,,4.05,,8.33,8.33,5.97,7.35,,5.75,7.5,7.0,4.9,,,,,,,,,,,0.1212,,,,0.1295,,0.1457,,0.108,,,0.2136,,0.1136,0.1096,0.1373,,,0.1324,0.108,0.1085,0.171,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,8.33,7.51,0.11,2.0,Not Found
780c0868037f3b02fdea6adaf4a2447a,basketball_ncaab,NCAAB,2026-02-15T01:49:13Z,2026-02-15T02:51:24Z,Troy Trojans @ Southern Miss Golden Eagles,Southern Miss Golden Eagles,4.1,,,,3.6,,2.75,,3.8,,,,,4.35,4.35,2.95,2.45,,3.25,4.5,4.3,,,,,,,,,,,,0.2121,,,,0.2513,,0.3142,,0.2316,,,,,0.2212,0.2212,0.3098,,,0.2662,0.1909,0.1889,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,4.35,4.15,0.05,2.0,Not Found
30e71279da99d0f29bfe843ae9cb9a56,basketball_wncaab,WNCAAB,2026-02-15T01:30:00Z,2026-02-15T02:51:24Z,South Carolina Gamecocks @ LSU Tigers,LSU Tigers,2.3,,,,2.4,,,,2.24,,,,,,2.7,,,,,,2.43,,,,,,,,,,,,0.3989,,,,0.3837,,,,0.4146,,,,,,0.3647,,,,,,0.3679,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,2.7,2.59,0.04,2.0,Not Found
531ff55eb1f66846536613df8c48205d,basketball_ncaab,NCAAB,2026-02-15T03:18:00Z,2026-02-15T04:31:54Z,Nevada Wolf Pack @ San Diego St Aztecs,San Diego St Aztecs,1.23,,,,1.31,,1.34,,1.42,,,1.05,,1.41,1.43,1.39,1.34,,1.4,1.32,1.4,1.32,,,,,,,,,,,0.7815,,,,0.7346,,0.6977,,0.6735,,,0.9251,,0.6998,0.6949,0.6902,0.7221,,0.672,0.7295,0.6753,0.7225,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,1.43,1.38,0.04,2.0,Not Found
70d71f54008cc55a3cd1f5251046264d,basketball_ncaab,NCAAB,2026-02-15T03:41:23Z,2026-02-15T04:31:54Z,Gonzaga Bulldogs @ Santa Clara Broncos,Santa Clara Broncos,4.0,,,,4.0,,,,3.5,,,2.16,,4.35,4.17,3.74,3.51,,3.75,3.9,3.75,3.0,,,,,,,,,,,0.2185,,,,0.2218,,,,0.2553,,,0.4285,,0.2243,0.2353,0.2369,0.2258,,0.2235,0.225,0.2235,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,4.17,4.05,0.03,2.0,Not Found
7fb1cc638a3428205cbbac503cdc013d,basketball_ncaab,NCAAB,2026-02-15T17:01:53Z,2026-02-15T17:56:52Z,UTSA Roadrunners @ Charlotte 49ers,UTSA Roadrunners,11.0,,,,8.5,,7.5,,11.0,,,,,12.5,14.29,9.43,5.99,,7.5,10.0,9.0,8.5,,,,,,,,,,,0.06,,,,0.0871,,0.0859,,0.0693,,,,,0.077,0.0633,0.0768,,,0.095,0.0692,0.0701,0.0915,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,14.29,13.01,0.1,2.0,Not Found
4afd01dfa70e2464b7d3c4a54bed45d7,basketball_ncaab,NCAAB,2026-02-15T18:07:31Z,2026-02-15T18:51:59Z,Denver Pioneers @ Omaha Mavericks,Denver Pioneers,6.6,,,,5.25,,5.2,,4.8,,,2.9,,7.69,7.69,4.99,5.71,,5.1,7.5,6.1,5.2,,,,,,,,,,,0.1212,,,,0.1605,,0.1457,,0.1768,,,0.3101,,0.1264,0.1264,0.1692,0.1371,,0.1516,0.0994,0.1147,0.1651,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,Kalshi,7.69,6.49,0.19,2.0,Not Found
