ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Outcomes,Result
8221f60b95854b96a55b807b00fbc740,basketball_ncaab,NCAAB,2026-02-15T03:30:00Z,2026-02-15T02:23:54Z,Saint Mary's Gaels @ Pacific Tigers,Pacific Tigers,,Kalshi,4.17,3.97,0.05,2.0,Not Found
2af5dd9cc92470be266f4c6f519c62de,basketball_ncaab,NCAAB,2026-02-15T01:06:21Z,2026-02-15T02:34:38Z,Virginia Cavaliers @ Ohio State Buckeyes,Virginia Cavaliers,2026-02-15,Kalshi,2.5,2.41,0.04,2.0,Not Found
7a7dc69921d6fe9435ab4735ad67ac00,basketball_ncaab,NCAAB,2026-02-15T02:00:46Z,2026-02-15T02:50:10Z,Minnesota Golden Gophers @ Washington Huskies,Minnesota Golden Gophers,2026-02-15,Kalshi,14.29,11.23,0.27,2.0,Not Found
d513190b89e339bed96079aa57b72d2d,basketball_ncaab,NCAAB,2026-02-15T01:40:10Z,2026-02-15T02:50:10Z,Auburn Tigers @ Arkansas Razorbacks,Auburn Tigers,2026-02-15,Kalshi,8.33,7.51,0.11,2.0,Not Found
780c0868037f3b02fdea6adaf4a2447a,basketball_ncaab,NCAAB,2026-02-15T01:49:13Z,2026-02-15T02:51:24Z,Troy Trojans @ Southern Miss Golden Eagles,Southern Miss Golden Eagles,2026-02-15,Kalshi,4.35,4.15,0.05,2.0,Not Found
30e71279da99d0f29bfe843ae9cb9a56,basketball_wncaab,WNCAAB,2026-02-15T01:30:00Z,2026-02-15T02:51:24Z,South Carolina Gamecocks @ LSU Tigers,LSU Tigers,2026-02-15,Kalshi,2.7,2.59,0.04,2.0,Not Found
531ff55eb1f66846536613df8c48205d,basketball_ncaab,NCAAB,2026-02-15T03:18:00Z,2026-02-15T04:31:54Z,Nevada Wolf Pack @ San Diego St Aztecs,San Diego St Aztecs,2026-02-15,Kalshi,1.43,1.38,0.04,2.0,Not Found
70d71f54008cc55a3cd1f5251046264d,basketball_ncaab,NCAAB,2026-02-15T03:41:23Z,2026-02-15T04:31:54Z,Gonzaga Bulldogs @ Santa Clara Broncos,Santa Clara Broncos,2026-02-15,Kalshi,4.17,4.05,0.03,2.0,Not Found
7fb1cc638a3428205cbbac503cdc013d,basketball_ncaab,NCAAB,2026-02-15T17:01:53Z,2026-02-15T17:56:52Z,UTSA Roadrunners @ Charlotte 49ers,UTSA Roadrunners,2026-02-15,Kalshi,14.29,13.01,0.1,2.0,Not Found
4afd01dfa70e2464b7d3c4a54bed45d7,basketball_ncaab,NCAAB,2026-02-15T18:07:31Z,2026-02-15T18:51:59Z,Denver Pioneers @ Omaha Mavericks,Denver Pioneers,2026-02-15,Kalshi,7.69,6.49,0.19,2.0,Not Found
4c7f6ccb5cfddf9acb58f795ba5dfb11,basketball_wncaab,WNCAAB,2026-02-15T19:00:00Z,2026-02-15T18:51:59Z,Baylor Bears @ UCF Knights,UCF Knights,2026-02-15,Kalshi,20.0,17.04,0.17,2.0,Not Found
d50155bda3669751f6a79842bc809e33,basketball_ncaab,NCAAB,2026-02-15T18:03:49Z,2026-02-15T18:51:59Z,Indiana Hoosiers @ Illinois Fighting Illini,Indiana Hoosiers,2026-02-15,Kalshi,9.09,7.91,0.15,2.0,Not Found
caa9c3aa585ac28d95f7e5b10b6830f5,basketball_ncaab,NCAAB,2026-02-15T17:01:31Z,2026-02-15T18:51:59Z,Utah Utes @ Cincinnati Bearcats,Cincinnati Bearcats,2026-02-15,Kalshi,4.76,4.3,0.11,2.0,Not Found
49099f3e4864abdf1bd1aea99f34a5d8,basketball_ncaab,NCAAB,2026-02-15T18:00:00Z,2026-02-15T18:51:59Z,Manhattan Jaspers @ Canisius Golden Griffins,Canisius Golden Griffins,2026-02-15,Kalshi,6.25,5.72,0.09,2.0,Not Found
7b864d6a5f95914b4098493bca7a3532,basketball_ncaab,NCAAB,2026-02-15T17:01:31Z,2026-02-15T18:51:59Z,Maryland Terrapins @ Rutgers Scarlet Knights,Maryland Terrapins,2026-02-15,Kalshi,10.0,9.49,0.05,2.0,Not Found
f9e3ccaaa87f46e5f8794f311e68e7a3,basketball_ncaab,NCAAB,2026-02-15T18:05:06Z,2026-02-15T18:51:59Z,Youngstown St Penguins @ Detroit Mercy Titans,Youngstown St Penguins,2026-02-15,Kalshi,3.23,3.08,0.05,2.0,Not Found
a1b9a2effeb192c27c4f55c4b1eacf25,basketball_wncaab,WNCAAB,2026-02-15T19:00:00Z,2026-02-15T18:51:59Z,Clemson Tigers @ Syracuse Orange,Syracuse Orange,2026-02-15,Kalshi,1.54,1.5,0.03,2.0,Not Found
d600ca0160dfb31f6fb1d2df10c2bc47,basketball_ncaab,NCAAB,2026-02-15T19:02:23Z,2026-02-15T19:19:42Z,Bradley Braves @ Southern Illinois Salukis,Southern Illinois Salukis,2026-02-15,Kalshi,4.35,3.63,0.2,2.0,Not Found
2c128b79671429f16d8483e66c331ebc,basketball_ncaab,NCAAB,2026-02-15T19:02:40Z,2026-02-15T19:19:42Z,Fairfield Stags @ Saint Peter's Peacocks,Fairfield Stags,2026-02-15,Kalshi,3.45,3.09,0.12,2.0,Not Found
d866dcc1d1b50494132050f5ee61a0cd,basketball_ncaab,NCAAB,2026-02-15T19:00:00Z,2026-02-15T19:19:42Z,Iona Gaels @ Niagara Purple Eagles,Niagara Purple Eagles,2026-02-15,Kalshi,2.5,2.33,0.07,2.0,Not Found
