ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,FanDuel,Winamax (FR),Winamax (DE),Betclic (FR),BetMGM,Betsson,Nordic Bet,Betfair,DraftKings,Unibet (SE),LeoVegas (SE),Pinnacle,Matchbook,Polymarket,Kalshi,GTbets,Novig,Coolbet,888sport,Unibet (NL),BetRivers,ProphetX,BetOnline.ag,LowVig.ag,Bovada,BetUS,1xBet,BetOpenly,William Hill,Marathon Bet,Everygame,Parions Sport (FR),Vigfree FanDuel,Vigfree Winamax (FR),Vigfree Winamax (DE),Vigfree Betclic (FR),Vigfree BetMGM,Vigfree Betsson,Vigfree Nordic Bet,Vigfree Betfair,Vigfree DraftKings,Vigfree Unibet (SE),Vigfree LeoVegas (SE),Vigfree Pinnacle,Vigfree Matchbook,Vigfree Polymarket,Vigfree Kalshi,Vigfree GTbets,Vigfree Novig,Vigfree Coolbet,Vigfree 888sport,Vigfree Unibet (NL),Vigfree BetRivers,Vigfree ProphetX,Vigfree BetOnline.ag,Vigfree LowVig.ag,Vigfree Bovada,Vigfree BetUS,Vigfree 1xBet,Vigfree BetOpenly,Vigfree William Hill,Vigfree Marathon Bet,Vigfree Everygame,Vigfree Parions Sport (FR),Tipico,Codere (IT),Vigfree Tipico,Vigfree Codere (IT),Start Date,Suprabets,Unibet (FR),PMU (FR),Vigfree Suprabets,Vigfree Unibet (FR),Vigfree PMU (FR),BetAnything,Vigfree BetAnything,MyBookie.ag,Vigfree MyBookie.ag,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Modified Z-Score,Outcomes,Result
8221f60b95854b96a55b807b00fbc740,basketball_ncaab,NCAAB,2026-02-15T03:30:00Z,2026-02-15T02:23:54Z,Saint Mary's Gaels @ Pacific Tigers,Pacific Tigers,3.7,,,,3.75,3.5,3.5,,3.7,,,3.66,,4.0,4.17,,3.77,,3.6,3.55,3.55,3.8,3.63,3.63,3.8,3.65,3.72,3.75,,3.02,,,0.2475,,,,0.2457,0.2492,0.2492,,0.2475,,,0.2549,,0.2462,0.2353,,0.2595,,0.2513,0.2532,0.2532,0.2528,0.2561,0.2561,0.241,0.2553,0.2376,0.2545,,0.2952,,,,,,,,,,,,,,,,,,Kalshi,4.17,3.97,0.05,3.89,2.0,Not Found
30e71279da99d0f29bfe843ae9cb9a56,basketball_wncaab,WNCAAB,2026-02-15T01:30:00Z,2026-02-15T02:51:24Z,South Carolina Gamecocks @ LSU Tigers,LSU Tigers,2.3,,,,2.4,,,,2.24,,,,,,2.7,,,,,,2.43,,,,,,,,,,,,0.3989,,,,0.3837,,,,0.4146,,,,,,0.3647,,,,,,0.3679,,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,2.7,2.59,0.04,2.02,2.0,Not Found
7fb1cc638a3428205cbbac503cdc013d,basketball_ncaab,NCAAB,2026-02-15T17:01:53Z,2026-02-15T18:51:59Z,UTSA Roadrunners @ Charlotte 49ers,UTSA Roadrunners,1.67,,,,1.57,,1.58,,1.6,,,,,1.71,1.82,1.64,1.41,,1.61,1.51,1.6,1.63,,,,,,,,,,,0.57,,,,0.6057,,0.5839,,0.5951,,,,,0.5832,0.54,0.5797,,,0.578,0.6295,0.581,0.5845,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,1.82,1.71,0.06,4.14,2.0,Not Found
4afd01dfa70e2464b7d3c4a54bed45d7,basketball_ncaab,NCAAB,2026-02-15T18:07:31Z,2026-02-15T18:51:59Z,Denver Pioneers @ Omaha Mavericks,Denver Pioneers,6.6,,,,5.25,,5.2,,4.8,,,2.9,,7.69,7.69,4.99,5.71,,5.1,7.5,6.1,5.2,,,,,,,,,,,0.1212,,,,0.1605,,0.1457,,0.1768,,,0.3101,,0.1264,0.1264,0.1692,0.1371,,0.1516,0.0994,0.1147,0.1651,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,7.69,6.49,0.19,3.58,2.0,Not Found
a1b9a2effeb192c27c4f55c4b1eacf25,basketball_wncaab,WNCAAB,2026-02-15T19:00:00Z,2026-02-15T18:51:59Z,Clemson Tigers @ Syracuse Orange,Syracuse Orange,1.42,,,,1.43,,,,1.46,,,,,,1.54,,,,,,1.4,,,,,,,,,,,,0.6696,,,,0.6772,,,,0.6639,,,,,,0.6448,,,,,,0.6786,,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,1.54,1.5,0.03,2.47,2.0,Not Found
d50155bda3669751f6a79842bc809e33,basketball_ncaab,NCAAB,2026-02-15T18:03:49Z,2026-02-15T18:51:59Z,Indiana Hoosiers @ Illinois Fighting Illini,Indiana Hoosiers,8.0,,,,6.25,,4.8,,6.2,,,5.83,,10.0,9.09,5.73,7.04,,4.75,7.0,6.5,7.9,,,,,,,,,,,0.0952,,,,0.1295,,0.1617,,0.1342,,,0.1393,,0.0955,0.1046,0.1448,0.1324,,0.1667,0.1169,0.114,0.1087,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,9.09,7.91,0.15,2.27,2.0,Not Found
d600ca0160dfb31f6fb1d2df10c2bc47,basketball_ncaab,NCAAB,2026-02-15T19:02:23Z,2026-02-15T19:19:42Z,Bradley Braves @ Southern Illinois Salukis,Southern Illinois Salukis,3.4,,,,2.75,,3.15,,3.4,,,,,3.85,4.35,,,,3.0,3.05,2.9,3.3,,,,,,,,,,,0.2624,,,,0.3346,,0.2681,,0.2624,,,,,0.2511,0.2212,,,,0.2907,0.2936,0.2993,0.2727,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,4.35,3.63,0.2,3.79,2.0,Not Found
2c128b79671429f16d8483e66c331ebc,basketball_ncaab,NCAAB,2026-02-15T19:02:40Z,2026-02-15T19:19:42Z,Fairfield Stags @ Saint Peter's Peacocks,Fairfield Stags,2.58,,,,2.9,,2.85,,2.85,,,,,3.23,3.45,2.69,,,2.7,3.0,2.65,2.66,,,,,,,,,,,0.356,,,,0.3153,,0.3023,,0.3208,,,,,0.3002,,0.341,,,0.328,0.299,0.3264,0.3478,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,3.45,3.09,0.12,2.53,2.0,Not Found
bd2d3a30650ecac7e8ddbe85795ecff8,basketball_ncaab,NCAAB,2026-02-15T19:02:55Z,2026-02-15T19:19:42Z,Oakland Golden Grizzlies @ Robert Morris Colonials,Robert Morris Colonials,2.06,,,,2.0,,1.96,,2.05,,,,,2.27,2.27,1.93,1.09,,2.0,2.33,2.02,2.1,,,,,,,1.73,,,,0.452,,,,0.4722,,0.461,,0.4565,,,,,0.4346,0.4346,0.4888,,,0.4559,0.3941,0.4481,0.4474,,,,,,,0.539,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,2.27,2.19,0.04,2.11,2.0,Not Found
d866dcc1d1b50494132050f5ee61a0cd,basketball_ncaab,NCAAB,2026-02-15T19:00:00Z,2026-02-15T19:19:42Z,Iona Gaels @ Niagara Purple Eagles,Niagara Purple Eagles,2.26,,,,2.2,,2.0,,,,,,,2.27,2.5,2.29,,,1.95,2.2,2.04,2.09,,,,,,,,,,,0.4107,,,,0.4242,,0.4488,,,,,,,0.4296,0.3951,0.4058,,,0.4674,0.4186,0.4421,0.4519,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,Kalshi,2.5,2.33,0.07,2.02,2.0,Not Found
