Match,Team,Start Time,League,Last Update,Coral,Ladbrokes,Pointsbet (Au),Betway,Bovada,Virgin Bet,Leovegas,Unibet,Casumo,Grosvenor,Tabtouch,Livescore Bet,Fanduel,888Sport,Betsson,Fanatics,Paddy Power,Nordic Bet,Winamax (De),Winamax (Fr),Tab,Draftkings,Caesars,Unibet (It),Unibet (Nl),Betmgm,Pinnacle,Coolbet,Gtbets,Tipico,Mybookie.Ag,Betrivers,Bet Victor,Sky Bet,Betclic (Fr),Sportsbet,Unibet (Fr),1Xbet,Marathon Bet,Betr,William Hill,Parions Sport (Fr),Neds,Lowvig.Ag,Betonline.Ag,Bet Right,Playup,Everygame,Betus,Dabble Au,Boylesports,Betanysports,Boombet,Bet365 Au,Avg Edge Pct,Fair Odds Avg,Best Odds,Best Bookmaker,Result,Scrape Time
Miami Marlins @ Washington Nationals,Miami Marlins,2025-09-01 13:06:00,MLB,2025-09-01 15:19:49,,,11.0,8.5,10.0,14.0,,17.0,17.0,,14.0,14.0,11.0,9.0,35.0,13.0,11.0,25.0,13.5,12.0,15.0,10.7,12.0,17.0,17.0,10.0,16.43,15.0,10.48,11.0,,,,,,,,,,,,,,,,,,,,,,,,,157.12,13.612,35.0,Betsson,Washington Nationals,2025-09-01 15:20:49
Los Angeles Angels @ Houston Astros,Los Angeles Angels,2025-09-01 14:10:00,MLB,2025-09-01 15:19:50,,,1.8,1.74,4.2,1.81,1.77,1.83,1.83,1.8,1.81,1.81,1.76,1.73,1.78,1.77,1.75,1.78,1.78,1.68,4.5,1.8,1.74,1.83,1.83,1.91,2.88,1.8,1.79,1.75,2.9,1.79,,,,,,,,,,,,,,,,,,,,,,,120.59,2.04,4.5,TAB,Houston Astros,2025-09-01 15:20:49
New York Mets @ Detroit Tigers,New York Mets,2025-09-01 13:11:00,MLB,2025-09-01 15:19:49,,,,1.12,1.12,1.13,1.11,1.13,1.13,1.13,1.13,1.13,1.15,1.11,1.11,1.13,1.14,1.11,1.13,1.13,2.0,1.14,1.12,1.13,1.13,1.11,1.15,1.12,1.14,1.12,1.15,1.12,,,,,,,,,,,,,,,,,,,,,,,64.19,1.218,2.0,TAB,New York Mets,2025-09-01 15:20:49
Chicago White Sox @ Minnesota Twins,Minnesota Twins,2025-09-01 14:11:00,MLB,2025-09-01 15:19:49,,,1.95,2.0,1.95,1.87,1.83,1.88,1.88,1.85,1.87,1.87,1.94,1.85,2.08,1.95,1.95,2.08,2.1,1.96,2.7,2.05,2.05,1.88,1.88,1.98,2.58,2.1,1.9,1.85,2.8,1.85,,,,,,,,,,,,,,,,,,,,,,,31.48,2.13,2.8,MyBookie.ag,Chicago White Sox,2025-09-01 15:20:49
Toronto Blue Jays @ Cincinnati Reds,Toronto Blue Jays,2025-09-01 13:11:00,MLB,2025-09-01 15:19:49,,,3.4,3.5,3.55,3.8,3.7,4.0,4.0,3.8,3.8,3.8,3.55,3.5,3.8,3.65,3.7,3.8,3.8,3.7,4.5,3.58,3.4,4.0,4.0,3.5,,4.4,3.67,3.6,4.15,3.75,,,,,,,,,,,,,,,,,,,,,,,12.4,4.004,4.5,TAB,Cincinnati Reds,2025-09-01 15:20:49
Oakland Athletics @ St. Louis Cardinals,St. Louis Cardinals,2025-09-01 14:16:00,MLB,2025-09-01 15:19:49,,,3.4,3.25,3.4,3.35,3.3,3.5,3.5,3.35,3.35,3.35,3.2,3.25,3.42,3.35,3.1,3.42,3.2,3.05,,3.45,3.0,3.5,3.5,3.8,2.64,3.25,3.53,3.5,2.7,3.35,,,,,,,,,,,,,,,,,,,,,,,8.38,3.506,3.8,BetMGM,Oakland Athletics,2025-09-01 15:20:49
Cleveland Guardians @ Boston Red Sox,Cleveland Guardians,2025-09-01 13:37:00,MLB,2025-09-01 15:41:08,,,5.25,5.0,4.75,3.3,4.5,4.6,5.0,4.6,4.7,3.3,4.3,4.5,4.74,5.1,4.5,5.38,5.5,4.5,,4.67,5.0,5.0,4.6,5.75,9.83,5.2,5.03,5.0,7.25,4.6,,,,,,,,,,,,,,,,,,,,,,,91.14,5.143,9.83,Pinnacle,Boston Red Sox,2025-09-01 15:41:20
Toronto Argonauts @ Hamilton Tiger-Cats,Toronto Argonauts,2025-09-01 14:39:02,CFL,2025-09-01 15:36:11,,,1.77,1.6,1.83,,1.4,1.43,,,,,2.04,,2.47,1.59,,1.59,,,,1.43,,1.43,1.43,1.71,2.67,2.11,,,,,,,,,,,,,,,,,,,,,,,,,,,47.76,1.807,2.67,Pinnacle,Hamilton Tiger-Cats,2025-09-01 15:41:20
Dallas Wings @ Minnesota Lynx,Dallas Wings,2025-09-01 20:00:00,WNBA,2025-09-01 16:19:41,,9.75,,11.0,11.0,,9.0,10.0,,,10.0,,10.8,10.0,9.75,11.0,8.5,9.75,,,10.0,12.0,11.5,10.0,10.0,10.5,13.09,10.0,11.2,,10.58,10.0,,,,9.5,,,,10.25,,8.1,9.75,10.61,10.61,9.0,,,10.2,,9.0,,,,22.9,10.651,13.09,Pinnacle,Dallas Wings,2025-09-01 16:20:13
Atlanta Braves @ Chicago Cubs,Atlanta Braves,2025-09-01 16:05:02,MLB,2025-09-01 16:07:18,2.05,2.05,1.71,1.67,1.67,1.65,1.63,1.68,1.68,1.66,1.67,1.67,1.72,1.61,1.72,1.67,1.73,1.66,1.7,1.62,,1.68,1.74,1.66,1.68,1.71,1.81,1.7,1.68,1.65,1.7,1.65,,,,2.0,2.0,,,,2.0,1.96,,2.06,2.06,,,,,,,,,,11.01,1.856,2.06,BetOnline.ag,Chicago Cubs,2025-09-01 16:20:13
San Francisco Giants @ Colorado Rockies,Colorado Rockies,2025-09-01 16:11:00,MLB,2025-09-01 16:20:01,2.15,2.15,2.45,2.35,2.5,2.38,2.33,2.35,2.43,2.3,2.32,2.32,2.44,2.3,2.48,2.45,2.38,2.36,2.25,2.15,2.2,2.31,2.5,2.43,2.43,2.4,2.61,2.3,2.5,2.4,2.45,2.28,,,,2.16,2.19,2.21,2.2,2.2,2.1,2.15,2.15,2.27,2.36,2.24,2.15,2.35,2.34,2.25,,2.34,,,6.84,2.443,2.61,Pinnacle,San Francisco Giants,2025-09-01 16:20:13
Philadelphia Phillies @ Milwaukee Brewers,Philadelphia Phillies,2025-09-01 16:11:00,MLB,2025-09-01 16:32:46,,,5.25,6.0,3.1,3.15,5.5,6.25,6.25,5.75,5.75,3.15,5.3,2.8,4.98,5.4,3.0,4.98,3.2,5.5,3.0,5.36,3.0,6.25,6.25,3.9,3.19,6.0,5.29,5.5,3.05,5.6,,,,,2.25,,,,2.3,,,,,,,,,,,,,,43.06,4.369,6.25,Unibet (IT),Philadelphia Phillies,2025-09-01 16:32:58
Vila Nova @ Chapecoense,Vila Nova,2025-09-01 18:00:00,Brazil Série B,2025-09-01 16:32:52,4.0,4.0,4.25,4.0,4.55,4.6,4.7,4.75,4.75,4.6,4.6,4.6,4.9,,4.35,,4.5,4.35,,,,4.4,,4.75,4.75,4.1,5.08,4.4,,4.7,,4.75,4.1,,,4.75,,4.51,4.4,,4.0,,4.0,3.75,3.95,,4.0,,4.15,,4.0,,,,6.74,4.759,5.08,Pinnacle,Draw,2025-09-01 16:32:58
Edmonton Elks @ Calgary Stampeders,Edmonton Elks,2025-09-01 18:00:00,CFL,2025-09-01 18:19:06,,3.5,4.0,4.0,3.5,,3.95,4.2,,,,,4.1,,3.75,3.8,,4.3,,,,4.1,3.85,4.2,4.2,3.6,,3.7,,,3.86,,,,,,,,,,,,3.5,3.8,3.8,,3.75,,,,,,,,5.22,4.087,4.3,Nordic Bet,Calgary Stampeders,2025-09-01 18:19:49
Godoy Cruz @ Platense,Godoy Cruz,2025-09-01 18:15:00,Primera División - Argentina,2025-09-01 18:33:54,,1.75,,1.88,3.75,1.88,,1.89,,,,1.88,1.77,,1.78,,1.83,,,,,1.8,,,,1.74,3.83,,,,,,1.8,1.83,1.74,,,,,,,,,,,,,,,,,,,,81.11,2.115,3.83,Pinnacle,Godoy Cruz,2025-09-01 18:34:09
Baltimore Orioles @ San Diego Padres,Baltimore Orioles,2025-09-01 18:41:00,MLB,2025-09-01 18:50:43,2.4,2.4,2.75,2.75,2.8,2.95,2.85,3.0,3.0,2.9,2.95,2.95,2.86,2.8,2.67,2.8,2.8,2.78,2.65,2.65,2.8,2.87,2.8,2.85,3.0,2.8,2.63,2.7,2.99,3.0,2.37,2.88,,,,2.25,2.32,,2.38,2.35,2.38,2.25,2.35,2.4,2.4,2.36,2.35,2.4,2.38,2.35,,2.42,,,7.97,2.778,3.0,Unibet,Baltimore Orioles,2025-09-01 18:51:49
Texas Rangers @ Arizona Diamondbacks,Texas Rangers,2025-09-01 20:10:10,MLB,2025-09-01 20:45:50,,,2.9,2.85,5.0,3.15,3.1,3.25,3.25,3.15,3.15,3.15,3.0,2.88,2.78,2.9,3.0,2.78,2.8,2.65,2.8,2.85,2.95,3.25,3.25,2.85,4.13,2.85,2.99,3.0,2.8,3.1,,,,,,,,,2.3,,,,,,,,,,,,,,56.19,3.201,5.0,Bovada,Texas Rangers,2025-09-01 20:46:16
Seattle Mariners @ Tampa Bay Rays,Seattle Mariners,2025-09-01 19:36:00,MLB,2025-09-01 20:45:25,,,12.0,9.5,13.0,14.0,,17.0,,14.0,14.0,,12.0,11.0,18.0,14.0,12.0,18.0,14.0,13.0,13.0,11.0,,15.0,17.0,13.5,17.58,12.0,11.94,13.0,10.5,,,,,,,,,,,,,,,,,,,,,,,,29.44,13.906,18.0,Nordic Bet,Tampa Bay Rays,2025-09-01 20:46:16
Los Angeles Sparks @ Seattle Storm,Los Angeles Sparks,2025-09-01 22:02:21,WNBA,2025-09-01 22:18:51,,,,4.3,4.15,,4.5,5.1,,,4.6,,6.6,4.0,4.8,4.8,,3.6,,,4.8,5.0,3.8,5.0,5.0,4.5,4.11,4.5,4.72,,2.7,4.6,,,,,,,,,,,,3.45,3.45,,,,,,,,,,43.63,4.595,6.6,FanDuel,Seattle Storm,2025-09-01 22:19:27
Cuiabá @ Ferroviária,Draw,2025-09-01 20:30:00,Brazil Série B,2025-09-01 22:17:16,1.25,1.25,,1.25,1.5,1.26,1.23,1.26,1.26,1.25,1.26,1.26,1.28,,1.26,,1.25,1.28,,,,1.29,,1.26,1.26,1.27,,1.25,,,,,1.25,,,,,,,,,,,,,,,,,,,,,,7.26,1.398,1.5,Bovada,Draw,2025-09-01 22:19:27
Tokyo Yakult Swallows @ Yomiuri Giants,Yomiuri Giants,2025-09-02 05:00:00,NPB,2025-09-02 05:12:28,1.57,,,1.95,1.59,,,1.93,,,,,2.04,1.85,1.91,1.91,,1.8,,,,2.0,1.91,,,2.95,1.59,1.88,,1.95,1.63,1.88,,,,,,,,,1.66,1.55,,1.67,1.67,,,1.6,1.68,,,,,,52.94,1.929,2.95,BetMGM,Yomiuri Giants,2025-09-02 05:12:53
Yokohama DeNA BayStars @ Hiroshima Toyo Carp,Hiroshima Toyo Carp,2025-09-02 05:00:00,NPB,2025-09-02 04:59:59,1.91,,,3.25,1.87,,,1.84,,,,,3.5,3.4,3.5,2.95,,3.25,,,,3.3,3.6,,,3.6,2.01,3.55,,3.4,3.6,1.83,,,,,,,,,1.91,1.8,,1.98,1.98,,,1.9,1.87,,,,,,36.36,2.64,3.6,MyBookie.ag,Yokohama DeNA BayStars,2025-09-02 05:12:53
Orix Buffaloes @ Fukuoka SoftBank Hawks,Orix Buffaloes,2025-09-02 05:00:00,NPB,2025-09-02 05:12:28,2.15,,,1.61,1.69,,,1.65,,,,,1.62,1.57,1.62,1.51,,1.56,,,,1.6,1.59,,,1.57,1.68,1.6,,1.6,1.75,1.62,,,,,,,,,2.28,2.05,,2.3,2.3,,,2.2,2.18,,,,,,22.11,1.884,2.3,LowVig.ag,Fukuoka SoftBank Hawks,2025-09-02 05:12:53
Hokkaido Nippon-Ham Fighters @ Chiba Lotte Marines,Chiba Lotte Marines,2025-09-02 05:00:00,NPB,2025-09-02 05:12:28,2.62,,,2.35,2.65,,,2.45,,,,,2.46,2.38,2.4,2.25,,2.25,,,,2.45,2.35,,,2.54,2.72,2.35,,2.5,2.5,2.38,,,,,,,,,2.7,2.5,,2.95,2.95,,,2.9,3.01,,,,,,10.83,2.716,3.01,BetUS,Hokkaido Nippon-Ham Fighters,2025-09-02 05:12:53
Saitama Seibu Lions @ Tohoku Rakuten Golden Eagles,Tohoku Rakuten Golden Eagles,2025-09-02 05:00:00,NPB,2025-09-02 04:59:59,2.05,,,1.91,1.95,,,2.25,,,,,1.93,1.83,1.88,1.74,,1.88,,,,1.91,1.87,,,1.91,2.1,1.85,,1.85,2.25,2.25,,,,,,,,,2.19,1.9,,2.05,2.05,,,2.0,1.94,,,,,,6.32,2.116,2.25,MyBookie.ag,Saitama Seibu Lions,2025-09-02 05:12:53
Kia Tigers @ Hanwha Eagles,Kia Tigers,2025-09-02 05:30:00,KBO,2025-09-02 05:29:50,2.37,,,2.05,2.05,,,1.98,,,,,2.16,,2.15,2.0,,1.88,,,,2.0,2.15,,,2.4,2.1,2.15,,1.85,2.07,1.93,,,,,,2.2,,,2.38,1.93,,2.2,2.2,,,2.0,,,,,,,7.64,2.23,2.4,BetMGM,Hanwha Eagles,2025-09-02 05:31:47
NC Dinos @ KT Wiz,NC Dinos,2025-09-02 05:30:00,KBO,2025-09-02 05:29:50,2.4,,,2.35,2.45,,,2.75,,,,,2.48,,2.45,2.7,,2.85,,,,2.7,2.35,,,2.75,2.46,2.6,,2.6,2.41,2.65,,,,,,2.44,,,2.38,2.2,,2.53,2.53,,,2.35,,,,,,,6.35,2.68,2.85,Nordic Bet,NC Dinos,2025-09-02 05:31:47
Hanshin Tigers @ Chunichi Dragons,Chunichi Dragons,2025-09-02 05:00:00,NPB,2025-09-02 05:43:04,,,,4.5,1.91,,,5.3,,,,,5.0,2.2,2.25,3.95,,2.25,,,,4.7,2.25,,,5.5,1.9,2.2,,4.5,2.0,4.8,,,,,,,,,,,,,,,,,,,,,,,75.66,3.131,5.5,BetMGM,Hanshin Tigers,2025-09-02 05:43:36
Kiwoom Heroes @ SSG Landers,Kiwoom Heroes,2025-09-02 05:30:14,KBO,2025-09-02 05:29:50,3.1,,,3.25,2.3,,,3.7,,,,,3.5,,3.1,3.2,,2.7,,,,3.3,3.3,,,3.2,2.91,2.2,,3.1,2.2,3.5,,,,,,,,,3.25,2.6,,3.0,3.0,,,2.75,,,,,,,17.24,3.156,3.7,Unibet,SSG Landers,2025-09-02 05:43:36
Lotte Giants @ LG Twins,Lotte Giants,2025-09-02 05:31:15,KBO,2025-09-02 05:58:56,,,,2.75,2.35,,,2.85,,,,,3.1,,,2.8,,2.7,,,,2.9,2.65,,,2.65,2.34,2.6,,2.6,2.4,2.88,,,,,,,,,2.38,,,,,,,,,,,,,,9.25,2.838,3.1,FanDuel,LG Twins,2025-09-02 05:58:58
Toronto Blue Jays @ Cincinnati Reds,Cincinnati Reds,2025-09-02 18:40:00,MLB,2025-09-02 14:40:15,1.95,1.95,2.0,1.91,1.9,1.95,1.95,1.93,1.95,1.95,1.93,1.95,2.24,1.91,1.92,2.05,2.2,1.92,1.96,1.88,1.95,1.98,1.91,1.93,1.94,1.95,1.97,1.95,1.95,1.93,1.91,1.95,,,,2.23,1.89,1.94,1.93,1.93,2.0,1.92,1.94,2.09,2.09,1.94,1.93,1.96,1.96,2.05,1.95,,,,8.92,2.057,2.24,FanDuel,Toronto Blue Jays,2025-09-02 14:40:48
Indianapolis Indians @ Columbus Clippers,Columbus Clippers,2025-09-02 18:10:00,MiLB,2025-09-02 17:45:18,,,,1.8,1.8,,,,,,,,1.85,,,,,,,,,,1.77,,,,1.78,,,,,2.06,,,,,,1.77,,,1.8,,,,1.71,,,,,,,,,,6.05,1.942,2.06,BetRivers,Indianapolis Indians,2025-09-02 17:45:40
Jacksonville Jumbo Shrimp @ Charlotte Knights,Charlotte Knights,2025-09-02 18:30:00,MiLB,2025-09-02 18:30:54,,,,2.85,2.2,,,,,,,,2.3,,,,,,,,,,2.3,,,,2.18,,,,,2.3,,,,,,,,,2.25,,,,2.24,,,,,,,,,,15.24,2.473,2.85,Betway,Not Found,2025-09-02 18:40:55
New York Mets @ Detroit Tigers,Detroit Tigers,2025-09-02 18:40:00,MLB,2025-09-02 18:48:16,2.1,2.1,2.25,2.35,2.3,2.35,2.35,2.4,2.4,2.35,2.35,2.35,2.36,2.3,2.22,2.4,2.3,2.17,2.3,2.2,2.25,2.31,2.6,2.4,2.4,2.6,2.11,2.35,2.45,2.4,2.06,2.33,,,,2.07,2.05,,2.07,2.05,2.1,2.0,2.1,2.12,2.12,2.1,2.02,2.12,2.1,2.05,2.05,2.1,,,10.51,2.353,2.6,BetMGM,New York Mets,2025-09-02 18:48:27
Los Angeles Dodgers @ Pittsburgh Pirates,Pittsburgh Pirates,2025-09-02 18:42:00,MLB,2025-09-02 18:48:16,2.45,2.45,2.15,2.15,2.25,2.07,2.06,2.1,2.1,2.06,2.07,2.07,2.14,2.05,2.07,2.1,2.15,2.07,2.15,2.05,2.1,2.07,2.2,2.1,2.1,2.18,2.53,2.2,2.16,2.1,2.49,2.04,,,,2.49,2.43,,2.49,2.45,2.38,2.35,2.45,2.51,2.51,2.5,2.45,,2.46,2.45,2.5,2.53,,,6.66,2.372,2.53,BetAnySports,Pittsburgh Pirates,2025-09-02 18:48:27
Avai @ América Mineiro,América Mineiro,2025-09-02 18:30:00,Brazil Série B,2025-09-02 19:10:02,1.4,1.4,,1.48,1.5,1.46,1.45,1.45,1.45,1.45,1.45,1.46,1.45,,2.88,,1.5,1.42,,,,1.49,,1.45,1.45,1.43,2.64,1.5,,1.5,,,1.45,,,,,,,,,,,,,,,,,,,,,,71.75,1.677,2.88,Betsson,América Mineiro,2025-09-02 19:10:53
Miami Marlins @ Washington Nationals,Washington Nationals,2025-09-02 18:45:00,MLB,2025-09-02 19:10:34,,,1.33,1.29,1.65,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.29,1.29,1.28,1.29,1.29,1.28,1.28,1.27,1.3,1.32,1.33,1.49,1.3,1.34,1.84,1.3,1.29,1.42,1.65,1.29,,,,,1.75,,,,1.8,,,,,,,,,,,,,,26.89,1.45,1.84,Pinnacle,Washington Nationals,2025-09-02 19:10:53
Cleveland Guardians @ Boston Red Sox,Cleveland Guardians,2025-09-02 18:46:00,MLB,2025-09-02 19:10:34,,,3.2,2.45,2.2,2.45,2.45,2.5,2.5,2.45,2.45,2.45,2.4,2.3,2.12,2.45,2.38,2.12,2.5,2.3,2.4,2.46,2.5,2.5,2.5,2.35,2.92,2.5,2.5,2.4,2.35,2.43,,,,,2.95,,,,3.1,,,,,,,,,,,,,,21.71,2.629,3.2,PointsBet (AU),Boston Red Sox,2025-09-02 19:10:53
Seattle Mariners @ Tampa Bay Rays,Tampa Bay Rays,2025-09-02 19:35:00,MLB,2025-09-02 19:55:17,,,1.29,1.33,1.77,1.32,1.3,1.32,1.32,1.3,1.32,1.32,1.32,1.33,1.4,1.29,1.3,1.28,1.31,1.3,1.42,1.31,1.59,1.32,1.32,1.29,1.85,1.37,1.35,1.32,1.55,1.3,,,,,1.96,,,,1.91,,,,,,,,,,,,,,33.09,1.473,1.96,Unibet (FR),Tampa Bay Rays,2025-09-02 19:55:27
Los Angeles Angels @ Kansas City Royals,Los Angeles Angels,2025-09-02 19:40:00,MLB,2025-09-02 19:55:17,2.4,2.4,3.1,2.85,2.6,2.95,3.0,3.3,3.3,3.15,2.95,2.95,3.0,2.7,2.78,2.9,2.8,2.78,2.8,2.65,2.8,2.87,2.65,3.05,3.05,2.95,2.21,3.3,2.99,2.9,2.65,2.9,,,,,2.35,,,,2.3,,,2.42,2.42,,,,2.43,,,,,,12.59,2.931,3.3,Unibet,Los Angeles Angels,2025-09-02 19:55:27
