Match,Team,Start Time,League,Last Update,Coral,Ladbrokes,Pointsbet (Au),Betway,Bovada,Virgin Bet,Leovegas,Unibet,Casumo,Grosvenor,Tabtouch,Livescore Bet,Fanduel,888Sport,Betsson,Fanatics,Paddy Power,Nordic Bet,Winamax (De),Winamax (Fr),Tab,Draftkings,Caesars,Unibet (It),Unibet (Nl),Betmgm,Pinnacle,Coolbet,Gtbets,Tipico,Mybookie.Ag,Betrivers,Bet Victor,Sky Bet,Betclic (Fr),Sportsbet,Unibet (Fr),1Xbet,Marathon Bet,Betr,William Hill,Parions Sport (Fr),Neds,Lowvig.Ag,Betonline.Ag,Bet Right,Playup,Everygame,Betus,Dabble Au,Boylesports,Pinnacle Fair Odds,Pin Edge Pct,Betanysports,Boombet,Bet365 Au,Best Odds,Best Bookmaker,Result,Scrape Time
SD Eibar @ SD Huesca,SD Eibar,2025-09-01 13:31:00,La Liga 2 - Spain,2025-09-01 15:20:13,10.0,9.5,8.5,10.0,6.5,9.0,9.0,9.5,9.5,9.0,9.0,9.0,13.0,,9.6,,12.0,,17.0,9.0,,11.0,,15.0,9.5,16.5,5.63,16.0,,10.0,,,8.0,11.0,7.0,,,,,,,,,,,,,,,,,6.012,182.78,,,,17.0,Winamax (DE),Not Found,2025-09-01 15:20:49
Miami Marlins @ Washington Nationals,Miami Marlins,2025-09-01 13:06:00,MLB,2025-09-01 15:19:49,,,11.0,8.5,10.0,14.0,,17.0,17.0,,14.0,14.0,11.0,9.0,35.0,13.0,11.0,25.0,13.5,12.0,15.0,10.7,12.0,17.0,17.0,10.0,16.43,15.0,10.48,11.0,,,,,,,,,,,,,,,,,,,,,,17.108,104.58,,,,35.0,Betsson,Washington Nationals,2025-09-01 15:20:49
New York Mets @ Detroit Tigers,New York Mets,2025-09-01 13:11:00,MLB,2025-09-01 15:19:49,,,,1.12,1.12,1.13,1.11,1.13,1.13,1.13,1.13,1.13,1.15,1.11,1.11,1.13,1.14,1.11,1.13,1.13,2.0,1.14,1.12,1.13,1.13,1.11,1.15,1.12,1.14,1.12,1.15,1.12,,,,,,,,,,,,,,,,,,,,1.201,66.47,,,,2.0,TAB,New York Mets,2025-09-01 15:20:49
Jaume Munar @ Lorenzo Musetti,Jaume Munar,2025-09-01 14:35:00,ATP US Open,2025-09-01 15:19:54,5.0,5.0,5.75,7.0,5.5,6.4,6.25,6.75,6.75,6.4,6.4,6.4,6.5,6.5,6.28,6.9,6.0,6.28,6.5,6.0,6.5,6.5,5.0,7.5,6.75,6.25,4.42,6.1,,,5.5,,,,,,,,,,,,,,,,,,,,,4.536,65.34,,,,7.5,Unibet (IT),Not Found,2025-09-01 15:20:49
Los Angeles Angels @ Houston Astros,Los Angeles Angels,2025-09-01 14:10:00,MLB,2025-09-01 15:19:50,,,1.8,1.74,4.2,1.81,1.77,1.83,1.83,1.8,1.81,1.81,1.76,1.73,1.78,1.77,1.75,1.78,1.78,1.68,4.5,1.8,1.74,1.83,1.83,1.91,2.88,1.8,1.79,1.75,2.9,1.79,,,,,,,,,,,,,,,,,,,,3.014,49.3,,,,4.5,TAB,Houston Astros,2025-09-01 15:20:49
Oakland Athletics @ St. Louis Cardinals,St. Louis Cardinals,2025-09-01 14:16:00,MLB,2025-09-01 15:19:49,,,3.4,3.25,3.4,3.35,3.3,3.5,3.5,3.35,3.35,3.35,3.2,3.25,3.42,3.35,3.1,3.42,3.2,3.05,,3.45,3.0,3.5,3.5,3.8,2.64,3.25,3.53,3.5,2.7,3.35,,,,,,,,,,,,,,,,,,,,2.76,37.68,,,,3.8,BetMGM,Oakland Athletics,2025-09-01 15:20:49
Chicago White Sox @ Minnesota Twins,Chicago White Sox,2025-09-01 14:11:00,MLB,2025-09-01 15:19:49,,,1.8,1.8,1.8,1.88,1.83,1.89,1.89,1.87,1.88,1.88,1.83,1.8,1.65,1.8,1.8,1.65,1.72,1.68,1.45,1.74,1.74,1.89,1.89,1.83,1.52,1.75,1.9,1.85,1.4,1.85,,,,,,,,,,,,,,,,,,,,1.589,19.56,,,,1.9,GTbets,Chicago White Sox,2025-09-01 15:20:49
Cleveland Guardians @ Boston Red Sox,Cleveland Guardians,2025-09-01 13:37:00,MLB,2025-09-01 15:19:50,,,2.35,2.25,2.3,2.25,2.2,2.3,2.3,2.25,2.25,2.25,2.16,,2.26,2.35,2.25,2.26,2.3,2.15,2.2,2.34,2.25,2.3,2.3,2.5,2.27,2.3,2.35,2.3,2.05,2.23,,,,,,,,,,,,,,,,,,,,2.376,5.23,,,,2.5,BetMGM,Boston Red Sox,2025-09-01 15:20:49
Toronto Argonauts @ Hamilton Tiger-Cats,Hamilton Tiger-Cats,2025-09-01 14:39:02,CFL,2025-09-01 15:36:11,,,1.98,2.3,1.91,,2.65,2.8,,,,,1.76,,1.53,2.3,,2.33,,,,2.75,,2.8,2.8,2.05,1.47,1.68,,,,,,,,,,,,,,,,,,,,,,,,1.551,80.58,,,,2.8,Unibet (IT),Hamilton Tiger-Cats,2025-09-01 15:41:20
Deportivo La Coruña @ Leganés,Deportivo La Coruña,2025-09-01 15:30:00,La Liga 2 - Spain,2025-09-01 15:31:05,5.25,5.25,5.5,5.0,6.0,5.2,5.1,5.5,5.5,5.2,5.2,5.2,5.9,,5.35,,5.5,,5.2,4.9,,5.75,,5.5,5.5,5.5,3.35,5.5,,5.5,,,5.25,5.5,5.75,2.87,3.0,3.19,3.08,3.05,3.0,3.1,2.9,2.77,2.77,,,,,,,3.46,73.39,,,,6.0,Bovada,Not Found,2025-09-01 15:41:20
San Francisco Giants @ Colorado Rockies,San Francisco Giants,2025-09-01 16:11:00,MLB,2025-09-01 16:20:01,1.73,1.72,1.53,1.57,1.5,1.55,1.51,1.6,1.56,1.57,1.6,1.6,1.54,1.53,1.46,1.53,1.53,1.51,1.62,1.58,1.7,1.58,1.53,1.56,1.56,1.56,1.51,1.65,1.54,1.5,1.55,1.56,,,,1.7,1.66,1.7,1.69,1.67,1.73,1.63,1.72,1.71,1.67,1.68,1.7,1.67,1.67,1.66,,1.579,9.59,1.67,,,1.73,Coral,San Francisco Giants,2025-09-01 16:20:13
Atlanta Braves @ Chicago Cubs,Atlanta Braves,2025-09-01 16:05:02,MLB,2025-09-01 16:07:18,2.05,2.05,1.71,1.67,1.67,1.65,1.63,1.68,1.68,1.66,1.67,1.67,1.72,1.61,1.72,1.67,1.73,1.66,1.7,1.62,,1.68,1.74,1.66,1.68,1.71,1.81,1.7,1.68,1.65,1.7,1.65,,,,2.0,2.0,,,,2.0,1.96,,2.06,2.06,,,,,,,1.896,8.65,,,,2.06,BetOnline.ag,Chicago Cubs,2025-09-01 16:20:13
Philadelphia Phillies @ Milwaukee Brewers,Philadelphia Phillies,2025-09-01 16:11:00,MLB,2025-09-01 16:32:46,,,5.25,6.0,3.1,3.15,5.5,6.25,6.25,5.75,5.75,3.15,5.3,2.8,4.98,5.4,3.0,4.98,3.2,5.5,3.0,5.36,3.0,6.25,6.25,3.9,3.19,6.0,5.29,5.5,3.05,5.6,,,,,2.25,,,,2.3,,,,,,,,,,,3.346,86.81,,,,6.25,Unibet (IT),Philadelphia Phillies,2025-09-01 16:32:59
Alexander Bublik @ Jannik Sinner,Alexander Bublik,2025-09-01 19:00:00,ATP US Open,2025-09-01 16:32:49,7.0,7.0,8.5,10.0,8.75,9.0,8.0,9.0,9.0,9.0,9.0,9.0,9.9,9.0,7.9,8.5,9.5,7.9,9.0,8.5,12.0,9.5,7.5,9.0,9.0,7.0,10.26,,7.83,,8.0,9.0,,,,8.5,,8.7,7.4,8.5,9.0,8.5,7.25,8.54,8.54,,12.0,8.5,,,,10.589,13.33,,,,12.0,TAB,Not Found,2025-09-01 16:32:59
Vila Nova @ Chapecoense,Chapecoense,2025-09-01 18:00:00,Brazil Série B,2025-09-01 16:32:52,1.91,1.91,1.91,2.0,1.85,1.74,1.77,1.81,1.81,1.74,1.76,1.74,1.83,,1.9,,1.8,1.9,,,,1.95,,1.82,1.81,1.91,1.85,1.92,,1.75,,1.8,1.87,,,1.8,,1.89,1.89,,1.95,,1.91,2.0,1.92,,2.05,,1.98,,1.91,1.925,6.51,,,,2.05,PlayUp,Draw,2025-09-01 16:32:59
