ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,FanDuel,Winamax (FR),Winamax (DE),Betclic (FR),BetMGM,Betsson,Nordic Bet,Betfair,DraftKings,Unibet (SE),LeoVegas (SE),Pinnacle,Matchbook,Polymarket,Kalshi,GTbets,Novig,Coolbet,888sport,Unibet (NL),BetRivers,ProphetX,BetOnline.ag,LowVig.ag,Bovada,BetUS,1xBet,BetOpenly,William Hill,Marathon Bet,Everygame,Parions Sport (FR),Vigfree FanDuel,Vigfree Winamax (FR),Vigfree Winamax (DE),Vigfree Betclic (FR),Vigfree BetMGM,Vigfree Betsson,Vigfree Nordic Bet,Vigfree Betfair,Vigfree DraftKings,Vigfree Unibet (SE),Vigfree LeoVegas (SE),Vigfree Pinnacle,Vigfree Matchbook,Vigfree Polymarket,Vigfree Kalshi,Vigfree GTbets,Vigfree Novig,Vigfree Coolbet,Vigfree 888sport,Vigfree Unibet (NL),Vigfree BetRivers,Vigfree ProphetX,Vigfree BetOnline.ag,Vigfree LowVig.ag,Vigfree Bovada,Vigfree BetUS,Vigfree 1xBet,Vigfree BetOpenly,Vigfree William Hill,Vigfree Marathon Bet,Vigfree Everygame,Vigfree Parions Sport (FR),Start Date,Tipico,Codere (IT),Vigfree Tipico,Vigfree Codere (IT),Unibet (FR),BetAnything,Vigfree Unibet (FR),Vigfree BetAnything,Suprabets,PMU (FR),Vigfree Suprabets,Vigfree PMU (FR),Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Modified Z-Score,Outcomes,Result
7a7dc69921d6fe9435ab4735ad67ac00,basketball_ncaab,NCAAB,2026-02-15T02:00:46Z,2026-02-15T02:23:53Z,Minnesota Golden Gophers @ Washington Huskies,Minnesota Golden Gophers,3.4,,,,3.1,,2.75,,3.0,,,3.54,,2.94,3.03,3.01,2.96,,2.88,2.7,2.63,2.88,,,,,,,,,,,0.2624,,,,0.2909,,0.3142,,0.3017,,,0.2475,,0.3252,0.3249,0.3011,0.3118,,0.306,0.338,0.338,0.3113,,,,,,,,,,,,,,,,,,,,,,,,FanDuel,3.4,3.27,0.04,3.71,2.0,Not Found
d513190b89e339bed96079aa57b72d2d,basketball_ncaab,NCAAB,2026-02-15T01:40:10Z,2026-02-15T02:23:53Z,Auburn Tigers @ Arkansas Razorbacks,Auburn Tigers,7.8,,,,6.5,,4.2,,4.5,,,6.87,,5.88,6.25,5.24,5.18,,,5.1,4.9,5.1,,,,,,,,,,,0.0968,,,,0.1224,,0.1843,,0.1909,,,0.1141,,0.154,0.1563,0.1606,0.1655,,,0.1707,0.1673,0.1707,,,,,,,,,,,,,,,,,,,,,,,,FanDuel,7.8,6.47,0.2,2.53,2.0,Not Found
2af5dd9cc92470be266f4c6f519c62de,basketball_ncaab,NCAAB,2026-02-15T01:06:21Z,2026-02-15T02:34:38Z,Virginia Cavaliers @ Ohio State Buckeyes,Ohio State Buckeyes,1.87,,,,1.48,,1.48,,1.53,,,2.61,,1.61,1.59,1.48,2.07,,1.5,1.45,1.43,,,,,,,,,,,,0.5042,,,,0.6455,,0.6278,,0.6227,,,0.3604,,0.6106,0.6145,0.6463,0.4457,,0.625,0.6596,0.6573,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,FanDuel,1.87,1.71,0.09,3.42,2.0,Not Found
9c6a71fd0589d7d12d95a4e4f3094bb3,soccer_mexico_ligamx,Liga MX,2026-02-15T01:06:00Z,2026-02-15T02:50:09Z,Necaxa @ FC Juárez,Draw,1.45,1.38,1.5,1.47,1.61,1.45,1.47,1.5,1.54,1.43,1.43,1.93,1.49,,,,,1.5,1.4,1.43,,,,,,,,,,,,,0.6625,0.6753,0.6303,0.6396,0.5799,0.6599,0.6452,0.6607,0.6281,0.667,0.6563,0.4989,0.6651,,,,,0.6524,,0.667,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,BetMGM,1.61,1.56,0.03,2.7,3.0,Not Found
3337a464fb1693dc46fd1e402ac66b37,soccer_japan_j_league,J League,2026-02-15T05:00:00Z,2026-02-15T05:42:12Z,Tokyo Verdy @ Kashiwa Reysol,Tokyo Verdy,,11.5,12.5,10.75,13.5,12.5,12.5,,16.0,,,5.11,,,,,,,13.0,,,,,,,,,,,,,,,0.0456,0.049,,0.0406,,,,0.036,,,0.1771,,,,,,,0.0447,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,DraftKings,16.0,15.27,0.05,2.36,3.0,Not Found
8cf6ff74c6e5d54390b5f38966f35293,soccer_japan_j_league,J League,2026-02-15T04:00:00Z,2026-02-15T05:42:12Z,Kawasaki Frontale @ JEF United Chiba,JEF United Chiba,,5.3,5.7,5.25,,5.8,5.8,,7.0,,,4.28,,,,,,,,,,,,,,,,,,,,,,,0.1402,,,,0.123,,0.1177,,,0.2153,,,,,,,,,,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,DraftKings,7.0,6.71,0.04,2.19,3.0,Not Found
854baf20ac9d88c3cdc2f462bf1fe620,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T07:08:00Z,2026-02-15T07:56:19Z,Ann Li @ Linda Noskova,Ann Li,,,,,,6.25,6.25,,8.0,6.0,6.0,5.27,7.2,,,,,7.5,6.0,6.75,6.1,,,,,,,,,,,,,,,,,0.1255,0.1255,,0.108,0.1409,0.1204,0.1782,0.1308,,,,,0.108,0.1329,0.1195,0.1315,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,DraftKings,8.0,7.74,0.03,4.72,2.0,Not Found
1481c89900b11f60645cad7ce73d15b5,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T09:00:00Z,2026-02-15T09:51:32Z,Elise Mertens @ Marie Bouzkova,Marie Bouzkova,,,,,,4.95,4.95,,7.7,5.5,4.5,2.94,6.4,,,,,6.4,4.75,5.5,5.2,,,,,,,,,,,,,,,,,0.17,0.17,,0.1104,0.1561,0.1763,0.3228,0.1433,,,,,0.1317,0.1705,0.1561,0.1614,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,DraftKings,7.7,5.89,0.31,3.75,2.0,Not Found
09bf8da2a9ab49ed401d5ca56ab26e10,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T08:53:00Z,2026-02-15T09:51:32Z,Kimberly Birrell @ Tatjana Maria,Kimberly Birrell,,,,,,1.18,1.18,,1.26,1.17,1.16,1.23,1.2,,,,,1.18,1.14,1.16,1.15,,,,,,,,,,,,,,,,,0.8206,0.8206,,0.768,0.8312,0.8174,0.7992,0.8186,,,,,0.8217,0.8386,0.8367,0.8348,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,DraftKings,1.26,1.22,0.03,2.7,2.0,Not Found
759feabd91596923bbdd2813dee50cc9,tennis_wta_dubai,WTA Dubai Championships,2026-02-15T11:18:00Z,2026-02-15T13:11:24Z,Leylah Fernandez @ Liudmila Samsonova,Liudmila Samsonova,,1.33,1.32,,,1.35,1.35,,1.47,1.29,1.26,1.37,1.32,,,,,1.4,1.36,1.29,1.35,,,,,,,,,,,,,0.7093,0.7175,,,0.7116,0.7116,,0.6507,0.7487,0.7498,0.7153,0.7489,,,,,0.6894,0.701,0.7487,0.7091,,,,,,,,,,,,2026-02-15,,,,,,,,,,,,,DraftKings,1.47,1.4,0.05,2.7,2.0,Not Found
