ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Modified Z-Score,Outcomes,Result
a793221c453a20fa21c6d96268e8e099,basketball_ncaab,NCAAB,2026-02-14T22:02:46Z,2026-02-14T22:57:43Z,Sam Houston St Bearkats @ Kennesaw St Owls,Kennesaw St Owls,,FanDuel,2.32,2.24,0.03,4.55,2.0,Not Found
5306ef940a6d5759977bc6f891dc9a11,basketball_ncaab,NCAAB,2026-02-14T21:45:00Z,2026-02-14T22:57:43Z,New Orleans Privateers @ Houston Christian Huskies,New Orleans Privateers,,FanDuel,2.82,2.65,0.06,3.51,2.0,Not Found
6569a9d000b90194c1e939116efd8f93,basketball_ncaab,NCAAB,2026-02-14T22:32:42Z,2026-02-14T23:35:01Z,Grambling St Tigers @ Texas Southern Tigers,Grambling St Tigers,2026-02-14,BetMGM,1.83,1.71,0.07,4.27,2.0,Not Found
8926170ceaab39c9dbd37c1573e5dae4,basketball_ncaab,NCAAB,2026-02-14T23:30:00Z,2026-02-14T23:35:01Z,Yale Bulldogs @ Harvard Crimson,Yale Bulldogs,2026-02-14,BetMGM,1.69,1.58,0.07,3.37,2.0,Not Found
2790734c4901a3a7610d0002d3f0ac47,basketball_ncaab,NCAAB,2026-02-14T23:40:52Z,2026-02-14T23:35:01Z,Mississippi St Bulldogs @ Ole Miss Rebels,Ole Miss Rebels,2026-02-14,DraftKings,1.74,1.67,0.04,2.29,2.0,Not Found
c6826274b1915374f88e80c2ea23dcf7,basketball_ncaab,NCAAB,2026-02-14T22:35:48Z,2026-02-14T23:35:01Z,Stephen F. Austin Lumberjacks @ UT Rio Grande Valley Vaqueros,Stephen F. Austin Lumberjacks,2026-02-14,BetMGM,1.53,1.48,0.03,2.19,2.0,Not Found
06d2966eba5aef996b477778eb3458d6,basketball_ncaab,NCAAB,2026-02-14T22:03:55Z,2026-02-14T23:35:01Z,Tennessee Tech Golden Eagles @ Southern Indiana Screaming Eagles,Tennessee Tech Golden Eagles,2026-02-14,DraftKings,2.4,2.24,0.07,2.05,2.0,Not Found
ae250b00a6dbc340fefee24b81392107,basketball_ncaab,NCAAB,2026-02-14T22:25:38Z,2026-02-14T23:54:53Z,Southern Jaguars @ Prairie View Panthers,Prairie View Panthers,2026-02-14,DraftKings,3.1,2.95,0.05,3.66,2.0,Not Found
7e6de81d23d06e32bb7f018b8d012bb6,basketball_ncaab,NCAAB,2026-02-15T01:00:00Z,2026-02-15T02:13:11Z,South Dakota St Jackrabbits @ Oral Roberts Golden Eagles,South Dakota St Jackrabbits,2026-02-15,DraftKings,1.38,1.32,0.04,2.36,2.0,Not Found
5fb7640644461400163fceb8463ec695,basketball_ncaab,NCAAB,2026-02-15T01:30:00Z,2026-02-15T02:13:11Z,Marshall Thundering Herd @ Georgia Southern Eagles,Marshall Thundering Herd,2026-02-15,FanDuel,3.7,3.33,0.11,2.32,2.0,Not Found
7a7dc69921d6fe9435ab4735ad67ac00,basketball_ncaab,NCAAB,2026-02-15T02:00:46Z,2026-02-15T02:13:11Z,Minnesota Golden Gophers @ Washington Huskies,Washington Huskies,2026-02-15,DraftKings,1.51,1.46,0.04,2.19,2.0,Not Found
