ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,FanDuel,Winamax (FR),Winamax (DE),Coolbet,888sport,Tipico,DraftKings,Pinnacle,Betfair,Betsson,Nordic Bet,GTbets,BetMGM,BetRivers,Unibet (NL),1xBet,PMU (FR),Parions Sport (FR),Betclic (FR),Marathon Bet,Bovada,Unibet (SE),LeoVegas (SE),Everygame,LowVig.ag,BetOnline.ag,Matchbook,BetAnything,William Hill,BetUS,Vigfree FanDuel,Vigfree Winamax (FR),Vigfree Winamax (DE),Vigfree Coolbet,Vigfree 888sport,Vigfree Tipico,Vigfree DraftKings,Vigfree Pinnacle,Vigfree Betfair,Vigfree Betsson,Vigfree Nordic Bet,Vigfree GTbets,Vigfree BetMGM,Vigfree BetRivers,Vigfree Unibet (NL),Vigfree 1xBet,Vigfree PMU (FR),Vigfree Parions Sport (FR),Vigfree Betclic (FR),Vigfree Marathon Bet,Vigfree Bovada,Vigfree Unibet (SE),Vigfree LeoVegas (SE),Vigfree Everygame,Vigfree LowVig.ag,Vigfree BetOnline.ag,Vigfree Matchbook,Vigfree BetAnything,Vigfree William Hill,Vigfree BetUS,Unibet (FR),Codere (IT),Vigfree Unibet (FR),Vigfree Codere (IT),Start Date,Best Bookmaker,Best Odds,Outcomes,Result
d5020b0f0f37bcd460d4f1f2f696e427,basketball_ncaab,NCAAB,2026-02-14T22:02:37Z,2026-02-14T22:57:43Z,Nicholls St Colonels @ Incarnate Word Cardinals,Incarnate Word Cardinals,7.8,,,,6.5,,7.0,,,,6.2,,6.25,8.5,11.0,,,,,,,,,,,,,,,,0.0968,,,,0.114,,0.1169,,,,0.1134,,0.1295,0.0686,0.0553,,,,,,,,,,,,,,,,,,,,,FanDuel,7.8,2.0,Not Found
1bf278f2791232bf02130787b1014919,basketball_ncaab,NCAAB,2026-02-14T21:42:32Z,2026-02-14T22:57:43Z,Lamar Cardinals @ Texas A&M-CC Islanders,Texas A&M-CC Islanders,1.02,,,,1.03,,1.05,,,,1.01,,1.06,,,,,,,,,,,,,,,,,,0.9456,,,,0.9354,,0.9307,,,,0.9424,,0.9146,,,,,,,,,,,,,,,,,,,,,,,BetMGM,1.06,2.0,Not Found
5cb5182d7617c99b7b2c6bbae8fb7665,basketball_ncaab,NCAAB,2026-02-14T21:00:12Z,2026-02-14T22:57:43Z,Louisville Cardinals @ Baylor Bears,Louisville Cardinals,1.01,,,,1.01,,1.02,1.11,,,,1.04,1.01,,,,,,,,,,,,,,,,,,0.9673,,,,0.9534,,0.9639,0.872,,,,0.933,0.9628,,,,,,,,,,,,,,,,,,,,,,,DraftKings,1.02,2.0,Not Found
724364f594dd8b386fe575f515ac1d80,basketball_ncaab,NCAAB,2026-02-14T21:00:38Z,2026-02-14T23:35:01Z,Colorado Buffaloes @ BYU Cougars,Colorado Buffaloes,26.0,,,,7.0,,,3.46,,,8.0,9.7,19.0,9.5,10.5,,,,,,,,,,,,,,,,,,,,0.0997,,,0.2714,,,0.0771,0.0754,0.0313,0.0672,0.0668,,,,,,,,,,,,,,,,,,,,2026-02-14,FanDuel,26.0,2.0,Not Found
49efd67af4a18649e5fc217dd4b7f41b,soccer_mexico_ligamx,Liga MX,2026-02-14T23:04:00Z,2026-02-14T23:35:01Z,Querétaro @ Atlético San Luis,Querétaro,3.2,3.1,3.25,3.5,3.1,,3.3,3.68,3.7,3.2,3.2,,,,3.65,,,,3.1,,,3.65,3.5,,,,3.7,,,,0.2878,,0.2723,0.2738,,,0.2803,0.2519,0.2668,0.2768,0.2768,,,,0.2476,,,,0.2777,,,0.2476,0.2475,,,,0.2691,,,,,,,,2026-02-14,DraftKings,3.3,3.0,Not Found
6569a9d000b90194c1e939116efd8f93,basketball_ncaab,NCAAB,2026-02-14T22:32:42Z,2026-02-14T23:35:01Z,Grambling St Tigers @ Texas Southern Tigers,Texas Southern Tigers,2.16,,,,2.05,,2.7,,,,2.55,,1.95,2.1,2.17,,,,,,,,,,,,,,,,0.4303,,,,0.4445,,0.3404,,,,0.344,,0.4832,0.4275,0.4255,,,,,,,,,,,,,,,,,,,,2026-02-14,DraftKings,2.7,2.0,Not Found
6bb9e91610a1ad9a2b4064dc6c43dcdd,basketball_ncaab,NCAAB,2026-02-14T21:32:54Z,2026-02-14T23:35:01Z,SE Louisiana Lions @ Northwestern St Demons,Northwestern St Demons,1.43,,,,1.4,,1.01,,,,2.55,,,2.28,2.35,,,,,,,,,,,,,,,,0.6678,,,,0.672,,0.9733,,,,0.344,,,0.3946,0.3923,,,,,,,,,,,,,,,,,,,,2026-02-14,FanDuel,1.43,2.0,Not Found
61cb514788e1424f8564a51530934372,basketball_ncaab,NCAAB,2026-02-14T22:03:14Z,2026-02-14T23:35:01Z,New Mexico St Aggies @ Jacksonville St Gamecocks,New Mexico St Aggies,1.19,,,,1.12,,1.19,,,,1.26,1.39,1.25,1.22,1.23,,,,,,,,,,,,,,,,0.8091,,,,0.8484,,0.8091,,,,0.7444,0.6902,0.7684,0.7709,0.7783,,,,,,,,,,,,,,,,,,,,2026-02-14,BetMGM,1.25,2.0,Not Found
9af18054c3151ccc231d0f344ae2aa1b,soccer_argentina_primera_division,Primera División - Argentina,2026-02-14T22:45:00Z,2026-02-14T23:54:53Z,Gimnasia Mendoza @ Talleres,Talleres,2.4,2.25,2.35,,,,2.45,2.37,2.58,2.4,2.4,,2.35,,,,,,,,,2.4,2.32,,,,2.58,,,,0.3827,,0.3875,,,,0.3832,0.4025,0.3847,0.3838,0.3838,,0.3881,,,,,,,,,0.3929,0.3944,,,,0.3847,,,,,,,,2026-02-14,DraftKings,2.45,3.0,Not Found
40ce021dced3d94687f2eadab1323e89,baseball_ncaa,NCAA Baseball,2026-02-15T00:00:00Z,2026-02-14T23:54:53Z,UConn Huskies @ Kansas St Wildcats,Kansas St Wildcats,1.62,,,,,,1.65,,,,,,1.67,1.61,,1.63,,,,,1.67,,,,,,,,,1.61,0.5874,,,,,,0.5758,,,,,,0.5668,0.5913,,0.5664,,,,,0.5668,,,,,,,,,0.5913,,,,,2026-02-15,BetMGM,1.67,2.0,Not Found
