ID,Sport Key,Sport Title,Start Time,Scrape Time,Match,Team,Start Date,Best Bookmaker,Best Odds,Fair Odds Average,Expected Value,Modified Z-Score,Outcomes,Result
96ec08f16406ee364d9280a3b5aa43f6,basketball_ncaab,NCAAB,2026-02-15T02:03:00Z,2026-02-15T02:50:10Z,Montana St Bobcats @ Montana Grizzlies,Montana St Bobcats,,Polymarket,2.0,1.94,0.03,3.3,2.0,Not Found
4afd01dfa70e2464b7d3c4a54bed45d7,basketball_ncaab,NCAAB,2026-02-15T18:07:31Z,2026-02-15T18:52:01Z,Denver Pioneers @ Omaha Mavericks,Denver Pioneers,2026-02-15,Polymarket,7.69,6.49,0.19,3.58,2.0,Not Found
d50155bda3669751f6a79842bc809e33,basketball_ncaab,NCAAB,2026-02-15T18:03:49Z,2026-02-15T18:52:01Z,Indiana Hoosiers @ Illinois Fighting Illini,Indiana Hoosiers,2026-02-15,Polymarket,10.0,7.91,0.26,3.07,2.0,Not Found
d600ca0160dfb31f6fb1d2df10c2bc47,basketball_ncaab,NCAAB,2026-02-15T19:02:23Z,2026-02-15T19:19:43Z,Bradley Braves @ Southern Illinois Salukis,Southern Illinois Salukis,2026-02-15,Polymarket,3.85,3.63,0.06,2.11,2.0,Not Found
bd2d3a30650ecac7e8ddbe85795ecff8,basketball_ncaab,NCAAB,2026-02-15T19:02:55Z,2026-02-15T19:19:43Z,Oakland Golden Grizzlies @ Robert Morris Colonials,Robert Morris Colonials,2026-02-15,Polymarket,2.27,2.19,0.04,2.11,2.0,Not Found
f4fe59fad696480d9613acd6d8701228,basketball_ncaab,NCAAB,2026-02-15T19:02:53Z,2026-02-15T19:43:29Z,Indiana St Sycamores @ Valparaiso Beacons,Indiana St Sycamores,2026-02-15,Polymarket,5.56,5.41,0.03,3.73,2.0,Not Found
d866dcc1d1b50494132050f5ee61a0cd,basketball_ncaab,NCAAB,2026-02-15T19:00:00Z,2026-02-15T19:43:29Z,Iona Gaels @ Niagara Purple Eagles,Niagara Purple Eagles,2026-02-15,Polymarket,2.22,2.08,0.07,3.71,2.0,Not Found
0ee4a18147d583ed1cea44af817dcf1f,basketball_ncaab,NCAAB,2026-02-15T19:02:35Z,2026-02-15T19:43:29Z,Merrimack Warriors @ Quinnipiac Bobcats,Quinnipiac Bobcats,2026-02-15,Polymarket,1.56,1.5,0.04,2.7,2.0,Not Found
49d93f5d9f2bb723d26ec650e29d8513,basketball_ncaab,NCAAB,2026-02-15T19:02:47Z,2026-02-15T19:57:55Z,North Texas Mean Green @ Temple Owls,North Texas Mean Green,2026-02-15,Polymarket,3.85,3.54,0.09,2.32,2.0,Not Found
7ee8cab6db50bfa0f97ac6fb9ca42508,basketball_ncaab,NCAAB,2026-03-01T17:01:47Z,2026-03-01T17:38:31Z,Rutgers Scarlet Knights @ Maryland Terrapins,Maryland Terrapins,2026-03-01,Polymarket,4.55,3.91,0.16,2.78,2.0,Not Found
3f83ad0acdb189fc69f3615b376d0b53,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:00:36Z,Rider Broncs @ Siena Saints,Rider Broncs,2026-03-01,Polymarket,12.5,11.75,0.06,4.38,2.0,Not Found
805d7efd32e359a3926b43dee552c496,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:00:36Z,Memphis Tigers @ East Carolina Pirates,East Carolina Pirates,2026-03-01,Polymarket,2.86,2.78,0.03,2.11,2.0,Not Found
048fc4fcf5a6d5f315c0313ea752c931,basketball_ncaab,NCAAB,2026-03-01T19:10:20Z,2026-03-01T19:47:31Z,Murray St Racers @ Bradley Braves,Bradley Braves,2026-03-01,Polymarket,1.96,1.86,0.06,2.11,2.0,Not Found
974c5a1d9e803ee972980141fd3b8867,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:47:31Z,Saint Peter's Peacocks @ Marist Red Foxes,Saint Peter's Peacocks,2026-03-01,Polymarket,3.45,3.31,0.04,2.02,2.0,Not Found
7b3de2cf6175e85d251f48b501b0e157,basketball_ncaab,NCAAB,2026-03-01T19:00:00Z,2026-03-01T19:58:51Z,Iona Gaels @ Manhattan Jaspers,Manhattan Jaspers,2026-03-01,Polymarket,5.26,5.05,0.04,3.33,2.0,Not Found
9d66000724539fda0404eb160d1eb8d3,basketball_ncaab,NCAAB,2026-03-01T20:02:27Z,2026-03-01T20:57:05Z,Northern Iowa Panthers @ Drake Bulldogs,Drake Bulldogs,2026-03-01,Polymarket,20.0,18.08,0.11,4.05,2.0,Not Found
cc2edd23c90efdc9ac05b2dda6db0710,basketball_nba,NBA,2026-03-01T20:40:00Z,2026-03-01T21:50:50Z,Milwaukee Bucks @ Chicago Bulls,Chicago Bulls,2026-03-01,Polymarket,6.25,5.93,0.05,2.81,2.0,Not Found
