match,league,start_time,team,Unibet,TABtouch,Betsson,PointsBet (AU),TAB,Virgin Bet,SportsBet,Bet Right,Betr,Marathon Bet,BetRivers,Coral,Betfair,PlayUp,LeoVegas (SE),Coolbet,Pinnacle,BetOnline.ag,Fanatics,1xBet,Nordic Bet,Parions Sport (FR),BoyleSports,LowVig.ag,MyBookie.ag,888sport,Caesars,Tipico,William Hill,DraftKings,FanDuel,Bovada,Everygame,Betway,BetUS,BetMGM
Brisbane Bullets @ New Zealand Breakers,NBL,2025-09-19 03:30:00,Brisbane Bullets,2.15,2.15,2.05,2.15,2.15,2.15,2.22,2.05,2.05,2.1,2.14,2.1,2.18,2.15,2.14,2.06,,,,,,,,,,,,,,,,,,,,
Brisbane Bullets @ New Zealand Breakers,NBL,2025-09-19 03:30:00,New Zealand Breakers,1.7,1.7,1.68,1.7,1.7,1.7,1.67,1.74,1.75,1.74,1.7,1.65,1.79,1.7,1.7,1.74,,,,,,,,,,,,,,,,,,,,
Tokyo Yakult Swallows @ Chunichi Dragons,NPB,2025-09-19 05:00:00,Chunichi Dragons,1.63,,1.65,,,,,,,,1.63,1.61,,,,1.68,1.68,1.69,1.62,1.68,1.65,1.54,1.62,1.69,1.64,1.61,1.67,1.57,1.66,1.68,1.66,1.65,1.62,1.62,1.69,1.65
Tokyo Yakult Swallows @ Chunichi Dragons,NPB,2025-09-19 05:00:00,Tokyo Yakult Swallows,2.23,,2.25,,,,,,,,2.23,2.15,,,,2.25,2.24,2.25,2.15,2.22,2.25,2.0,2.2,2.25,2.18,2.2,2.2,2.25,2.28,2.24,2.24,2.2,2.15,2.15,2.15,2.2
Yokohama DeNA BayStars @ Hanshin Tigers,NPB,2025-09-19 05:00:00,Hanshin Tigers,1.88,,2.0,,,,,,,,1.88,1.91,,,,1.96,2.02,1.95,1.87,1.93,2.0,1.78,1.91,1.95,1.92,1.91,1.87,1.95,1.99,2.0,1.95,1.95,1.9,1.91,1.9,1.95
Yokohama DeNA BayStars @ Hanshin Tigers,NPB,2025-09-19 05:00:00,Yokohama DeNA BayStars,1.88,,1.82,,,,,,,,1.88,1.8,,,,1.89,1.84,1.87,1.8,1.9,1.82,1.7,1.83,1.87,1.83,1.8,1.87,1.75,1.85,1.83,1.87,1.8,1.8,1.8,1.84,1.83
Hiroshima Toyo Carp @ Yomiuri Giants,NPB,2025-09-19 05:00:00,Hiroshima Toyo Carp,2.16,,2.35,,,,,,,,2.16,2.25,,,,2.25,2.36,2.4,2.2,2.23,2.35,2.0,2.2,2.4,2.21,2.2,2.15,2.3,2.28,2.36,2.28,2.2,2.2,2.2,2.3,2.3
Hiroshima Toyo Carp @ Yomiuri Giants,NPB,2025-09-19 05:00:00,Yomiuri Giants,1.67,,1.6,,,,,,,,1.67,1.57,,,,1.68,1.62,1.62,1.61,1.67,1.6,1.53,1.62,1.62,1.62,1.61,1.69,1.55,1.66,1.62,1.63,1.65,1.6,1.61,1.62,1.61
Saitama Seibu Lions @ Tohoku Rakuten Golden Eagles,NPB,2025-09-19 05:00:00,Saitama Seibu Lions,1.97,,2.0,,,,,,,,1.96,1.95,,,,2.0,2.03,1.98,1.91,2.0,2.0,1.82,1.95,1.98,1.96,1.91,1.87,2.0,1.99,2.02,2.0,2.0,1.95,1.95,1.91,2.0
Saitama Seibu Lions @ Tohoku Rakuten Golden Eagles,NPB,2025-09-19 05:00:00,Tohoku Rakuten Golden Eagles,1.8,,1.82,,,,,,,,1.8,1.75,,,,1.85,1.83,1.85,1.74,1.83,1.82,1.67,1.8,1.85,1.79,1.8,1.87,1.72,1.85,1.82,1.82,1.77,1.75,1.74,1.83,1.77
Doosan Bears @ SSG Landers,KBO,2025-09-19 05:30:00,Doosan Bears,,,2.9,,,,,,,,,2.7,,,,2.9,2.82,2.86,2.8,2.75,2.9,2.45,2.75,2.86,2.7,,2.75,2.7,2.75,2.9,2.84,2.85,2.75,2.65,,2.7
Doosan Bears @ SSG Landers,KBO,2025-09-19 05:30:00,SSG Landers,,,1.42,,,,,,,,,1.4,,,,1.44,1.4,1.45,1.45,1.46,1.42,1.37,1.4,1.45,1.43,,1.42,1.4,1.4,1.43,1.43,1.4,1.4,1.43,,1.43
Hanwha Eagles @ KT Wiz,KBO,2025-09-19 05:30:00,Hanwha Eagles,,,1.68,,,,,,,,,1.6,,,,1.72,1.58,1.65,1.71,1.75,1.68,1.58,1.67,1.65,1.67,,1.62,1.62,1.67,1.62,1.69,1.61,1.57,1.67,,1.62
Hanwha Eagles @ KT Wiz,KBO,2025-09-19 05:30:00,KT Wiz,,,2.2,,,,,,,,,2.2,,,,2.18,2.32,2.35,2.2,2.1,2.2,1.97,2.1,2.35,2.12,,2.25,2.15,2.1,2.36,2.18,2.25,2.25,2.1,,2.25
Lotte Giants @ NC Dinos,KBO,2025-09-19 05:30:00,Lotte Giants,,,3.0,,,,,,,,,2.9,,,,3.15,2.93,3.11,3.05,2.97,3.0,2.6,2.88,3.11,2.94,,3.0,2.95,3.0,3.1,3.05,2.9,2.9,2.85,,2.95
Lotte Giants @ NC Dinos,KBO,2025-09-19 05:30:00,NC Dinos,,,1.4,,,,,,,,,1.35,,,,1.38,1.38,1.39,1.4,1.41,1.4,1.32,1.36,1.39,1.37,,1.36,1.35,1.36,1.39,1.38,1.38,1.36,1.36,,1.36
